exposure_scenario_id,route,dose_level,daily_dose_unit,duration_days,total_external_load,dose_factor,duration_factor,exposure_pressure_score,exposure_pressure_class,gut_input_fraction,fecal_elimination_bias,normalized_gut_input_rate,host_scenario_id,gut_status,diet_state,mucus_thickness_factor,epithelial_barrier_integrity,barrier_impairment,m_cell_uptake_factor,peyer_patch_uptake_factor,lymph_flow_factor_adjusted,hydrophobic_transport_factor,macrophage_sensitivity,cytokine_sensitivity,clearance_factor,clearance_inverse,host_susceptibility_score,host_adjusted_exposure_pressure,route_description
EXP0001,oral,low,1.0,30,30.0,0.1,0.5817720685872803,0.31679743086427614,moderate,1.0,0.85,1.0,HOST_NORMAL_NORMAL,normal,normal,1.0,1.0,0.0,0.5,0.45,1.0,1.0,0.4,0.35,1.0,0.0,0.3025,0.30377371543213805,Oral intake route; microplastic particles first enter the gut lumen.
EXP0002,oral,low,1.0,30,30.0,0.1,0.5817720685872803,0.31679743086427614,moderate,1.0,0.85,1.0,HOST_NORMAL_HIGH_FAT,normal,high-fat,1.0,1.0,0.0,0.5,0.45,1.2,1.15,0.4,0.35,1.0,0.0,0.3025,0.32377371543213807,Oral intake route; microplastic particles first enter the gut lumen.
EXP0003,oral,low,1.0,30,30.0,0.1,0.5817720685872803,0.31679743086427614,moderate,1.0,0.85,1.0,HOST_INFLAMED_NORMAL,inflamed,normal,1.2,0.7,0.3,0.75,0.7,1.2,1.0,0.7,0.75,0.7,0.3,0.5975,0.4280237154321381,Oral intake route; microplastic particles first enter the gut lumen.
EXP0004,oral,low,1.0,30,30.0,0.1,0.5817720685872803,0.31679743086427614,moderate,1.0,0.85,1.0,HOST_INFLAMED_HIGH_FAT,inflamed,high-fat,1.2,0.7,0.3,0.75,0.7,1.44,1.15,0.7,0.75,0.7,0.3,0.5975,0.4520237154321381,Oral intake route; microplastic particles first enter the gut lumen.
EXP0005,oral,low,1.0,30,30.0,0.1,0.5817720685872803,0.31679743086427614,moderate,1.0,0.85,1.0,HOST_BARRIER_IMPAIRED_NORMAL,barrier-impaired,normal,0.8,0.5,0.5,0.85,0.8,1.1,1.0,0.8,0.85,0.6,0.4,0.7225000000000001,0.4767737154321381,Oral intake route; microplastic particles first enter the gut lumen.
EXP0006,oral,low,1.0,30,30.0,0.1,0.5817720685872803,0.31679743086427614,moderate,1.0,0.85,1.0,HOST_BARRIER_IMPAIRED_HIGH_FAT,barrier-impaired,high-fat,0.8,0.5,0.5,0.85,0.8,1.32,1.15,0.8,0.85,0.6,0.4,0.7225000000000001,0.4987737154321381,Oral intake route; microplastic particles first enter the gut lumen.
EXP0007,oral,low,1.0,90,90.0,0.1,0.764211370032278,0.3988951165145251,moderate,1.0,0.85,1.0,HOST_NORMAL_NORMAL,normal,normal,1.0,1.0,0.0,0.5,0.45,1.0,1.0,0.4,0.35,1.0,0.0,0.3025,0.34482255825726255,Oral intake route; microplastic particles first enter the gut lumen.
EXP0008,oral,low,1.0,90,90.0,0.1,0.764211370032278,0.3988951165145251,moderate,1.0,0.85,1.0,HOST_NORMAL_HIGH_FAT,normal,high-fat,1.0,1.0,0.0,0.5,0.45,1.2,1.15,0.4,0.35,1.0,0.0,0.3025,0.3648225582572625,Oral intake route; microplastic particles first enter the gut lumen.
EXP0009,oral,low,1.0,90,90.0,0.1,0.764211370032278,0.3988951165145251,moderate,1.0,0.85,1.0,HOST_INFLAMED_NORMAL,inflamed,normal,1.2,0.7,0.3,0.75,0.7,1.2,1.0,0.7,0.75,0.7,0.3,0.5975,0.4690725582572625,Oral intake route; microplastic particles first enter the gut lumen.
EXP0010,oral,low,1.0,90,90.0,0.1,0.764211370032278,0.3988951165145251,moderate,1.0,0.85,1.0,HOST_INFLAMED_HIGH_FAT,inflamed,high-fat,1.2,0.7,0.3,0.75,0.7,1.44,1.15,0.7,0.75,0.7,0.3,0.5975,0.49307255825726254,Oral intake route; microplastic particles first enter the gut lumen.
EXP0011,oral,low,1.0,90,90.0,0.1,0.764211370032278,0.3988951165145251,moderate,1.0,0.85,1.0,HOST_BARRIER_IMPAIRED_NORMAL,barrier-impaired,normal,0.8,0.5,0.5,0.85,0.8,1.1,1.0,0.8,0.85,0.6,0.4,0.7225000000000001,0.5178225582572625,Oral intake route; microplastic particles first enter the gut lumen.
EXP0012,oral,low,1.0,90,90.0,0.1,0.764211370032278,0.3988951165145251,moderate,1.0,0.85,1.0,HOST_BARRIER_IMPAIRED_HIGH_FAT,barrier-impaired,high-fat,0.8,0.5,0.5,0.85,0.8,1.32,1.15,0.8,0.85,0.6,0.4,0.7225000000000001,0.5398225582572626,Oral intake route; microplastic particles first enter the gut lumen.
EXP0013,oral,low,1.0,180,180.0,0.1,0.8807081073203332,0.45131864829414997,moderate,1.0,0.85,1.0,HOST_NORMAL_NORMAL,normal,normal,1.0,1.0,0.0,0.5,0.45,1.0,1.0,0.4,0.35,1.0,0.0,0.3025,0.371034324147075,Oral intake route; microplastic particles first enter the gut lumen.
EXP0014,oral,low,1.0,180,180.0,0.1,0.8807081073203332,0.45131864829414997,moderate,1.0,0.85,1.0,HOST_NORMAL_HIGH_FAT,normal,high-fat,1.0,1.0,0.0,0.5,0.45,1.2,1.15,0.4,0.35,1.0,0.0,0.3025,0.39103432414707495,Oral intake route; microplastic particles first enter the gut lumen.
EXP0015,oral,low,1.0,180,180.0,0.1,0.8807081073203332,0.45131864829414997,moderate,1.0,0.85,1.0,HOST_INFLAMED_NORMAL,inflamed,normal,1.2,0.7,0.3,0.75,0.7,1.2,1.0,0.7,0.75,0.7,0.3,0.5975,0.49528432414707496,Oral intake route; microplastic particles first enter the gut lumen.
EXP0016,oral,low,1.0,180,180.0,0.1,0.8807081073203332,0.45131864829414997,moderate,1.0,0.85,1.0,HOST_INFLAMED_HIGH_FAT,inflamed,high-fat,1.2,0.7,0.3,0.75,0.7,1.44,1.15,0.7,0.75,0.7,0.3,0.5975,0.5192843241470749,Oral intake route; microplastic particles first enter the gut lumen.
EXP0017,oral,low,1.0,180,180.0,0.1,0.8807081073203332,0.45131864829414997,moderate,1.0,0.85,1.0,HOST_BARRIER_IMPAIRED_NORMAL,barrier-impaired,normal,0.8,0.5,0.5,0.85,0.8,1.1,1.0,0.8,0.85,0.6,0.4,0.7225000000000001,0.544034324147075,Oral intake route; microplastic particles first enter the gut lumen.
EXP0018,oral,low,1.0,180,180.0,0.1,0.8807081073203332,0.45131864829414997,moderate,1.0,0.85,1.0,HOST_BARRIER_IMPAIRED_HIGH_FAT,barrier-impaired,high-fat,0.8,0.5,0.5,0.85,0.8,1.32,1.15,0.8,0.85,0.6,0.4,0.7225000000000001,0.566034324147075,Oral intake route; microplastic particles first enter the gut lumen.
EXP0019,oral,low,1.0,365,365.0,0.1,1.0,0.505,high,1.0,0.85,1.0,HOST_NORMAL_NORMAL,normal,normal,1.0,1.0,0.0,0.5,0.45,1.0,1.0,0.4,0.35,1.0,0.0,0.3025,0.397875,Oral intake route; microplastic particles first enter the gut lumen.
EXP0020,oral,low,1.0,365,365.0,0.1,1.0,0.505,high,1.0,0.85,1.0,HOST_NORMAL_HIGH_FAT,normal,high-fat,1.0,1.0,0.0,0.5,0.45,1.2,1.15,0.4,0.35,1.0,0.0,0.3025,0.417875,Oral intake route; microplastic particles first enter the gut lumen.
EXP0021,oral,low,1.0,365,365.0,0.1,1.0,0.505,high,1.0,0.85,1.0,HOST_INFLAMED_NORMAL,inflamed,normal,1.2,0.7,0.3,0.75,0.7,1.2,1.0,0.7,0.75,0.7,0.3,0.5975,0.522125,Oral intake route; microplastic particles first enter the gut lumen.
EXP0022,oral,low,1.0,365,365.0,0.1,1.0,0.505,high,1.0,0.85,1.0,HOST_INFLAMED_HIGH_FAT,inflamed,high-fat,1.2,0.7,0.3,0.75,0.7,1.44,1.15,0.7,0.75,0.7,0.3,0.5975,0.546125,Oral intake route; microplastic particles first enter the gut lumen.
EXP0023,oral,low,1.0,365,365.0,0.1,1.0,0.505,high,1.0,0.85,1.0,HOST_BARRIER_IMPAIRED_NORMAL,barrier-impaired,normal,0.8,0.5,0.5,0.85,0.8,1.1,1.0,0.8,0.85,0.6,0.4,0.7225000000000001,0.570875,Oral intake route; microplastic particles first enter the gut lumen.
EXP0024,oral,low,1.0,365,365.0,0.1,1.0,0.505,high,1.0,0.85,1.0,HOST_BARRIER_IMPAIRED_HIGH_FAT,barrier-impaired,high-fat,0.8,0.5,0.5,0.85,0.8,1.32,1.15,0.8,0.85,0.6,0.4,0.7225000000000001,0.592875,Oral intake route; microplastic particles first enter the gut lumen.
EXP0025,oral,medium,5.0,30,150.0,0.5,0.5817720685872803,0.5367974308642762,high,1.0,0.85,5.0,HOST_NORMAL_NORMAL,normal,normal,1.0,1.0,0.0,0.5,0.45,1.0,1.0,0.4,0.35,1.0,0.0,0.3025,0.4137737154321381,Oral intake route; microplastic particles first enter the gut lumen.
EXP0026,oral,medium,5.0,30,150.0,0.5,0.5817720685872803,0.5367974308642762,high,1.0,0.85,5.0,HOST_NORMAL_HIGH_FAT,normal,high-fat,1.0,1.0,0.0,0.5,0.45,1.2,1.15,0.4,0.35,1.0,0.0,0.3025,0.4337737154321381,Oral intake route; microplastic particles first enter the gut lumen.
EXP0027,oral,medium,5.0,30,150.0,0.5,0.5817720685872803,0.5367974308642762,high,1.0,0.85,5.0,HOST_INFLAMED_NORMAL,inflamed,normal,1.2,0.7,0.3,0.75,0.7,1.2,1.0,0.7,0.75,0.7,0.3,0.5975,0.5380237154321381,Oral intake route; microplastic particles first enter the gut lumen.
EXP0028,oral,medium,5.0,30,150.0,0.5,0.5817720685872803,0.5367974308642762,high,1.0,0.85,5.0,HOST_INFLAMED_HIGH_FAT,inflamed,high-fat,1.2,0.7,0.3,0.75,0.7,1.44,1.15,0.7,0.75,0.7,0.3,0.5975,0.562023715432138,Oral intake route; microplastic particles first enter the gut lumen.
EXP0029,oral,medium,5.0,30,150.0,0.5,0.5817720685872803,0.5367974308642762,high,1.0,0.85,5.0,HOST_BARRIER_IMPAIRED_NORMAL,barrier-impaired,normal,0.8,0.5,0.5,0.85,0.8,1.1,1.0,0.8,0.85,0.6,0.4,0.7225000000000001,0.5867737154321381,Oral intake route; microplastic particles first enter the gut lumen.
EXP0030,oral,medium,5.0,30,150.0,0.5,0.5817720685872803,0.5367974308642762,high,1.0,0.85,5.0,HOST_BARRIER_IMPAIRED_HIGH_FAT,barrier-impaired,high-fat,0.8,0.5,0.5,0.85,0.8,1.32,1.15,0.8,0.85,0.6,0.4,0.7225000000000001,0.6087737154321381,Oral intake route; microplastic particles first enter the gut lumen.
EXP0031,oral,medium,5.0,90,450.0,0.5,0.764211370032278,0.6188951165145251,high,1.0,0.85,5.0,HOST_NORMAL_NORMAL,normal,normal,1.0,1.0,0.0,0.5,0.45,1.0,1.0,0.4,0.35,1.0,0.0,0.3025,0.45482255825726253,Oral intake route; microplastic particles first enter the gut lumen.
