particle_id,polymer,size_um,shape,aging,charge,oxidation_score,corona_score,hydrophobicity_score,roughness_score,leachate_score,charge_score,shape_factor,shape_retention,size_class,reactive_surface_class,corona_potential_class
MP0001,PET,0.05,sphere,pristine,neutral,0.23,0.67,0.55,0.274,0.612,0.3,1.0,0.3,nano-scale,low,high
MP0002,PET,0.05,sphere,pristine,negative,0.23,0.7300000000000001,0.55,0.274,0.612,0.6,1.0,0.3,nano-scale,low,high
MP0003,PET,0.05,sphere,pristine,positive,0.23,0.77,0.55,0.274,0.612,0.8,1.0,0.3,nano-scale,low,high
MP0004,PET,0.05,sphere,UV-aged,neutral,0.8300000000000001,0.75,0.55,0.5740000000000001,0.692,0.3,1.0,0.3,nano-scale,high,high
MP0005,PET,0.05,sphere,UV-aged,negative,0.8300000000000001,0.8099999999999999,0.55,0.5740000000000001,0.692,0.6,1.0,0.3,nano-scale,high,high
MP0006,PET,0.05,sphere,UV-aged,positive,0.8300000000000001,0.85,0.55,0.5740000000000001,0.692,0.8,1.0,0.3,nano-scale,high,high
MP0007,PET,0.05,sphere,oxidized,neutral,1.0,0.77,0.55,0.724,0.712,0.3,1.0,0.3,nano-scale,high,high
MP0008,PET,0.05,sphere,oxidized,negative,1.0,0.83,0.55,0.724,0.712,0.6,1.0,0.3,nano-scale,high,high
MP0009,PET,0.05,sphere,oxidized,positive,1.0,0.87,0.55,0.724,0.712,0.8,1.0,0.3,nano-scale,high,high
MP0010,PET,0.05,fragment,pristine,neutral,0.23,0.7100000000000001,0.55,0.35400000000000004,0.642,0.3,1.25,0.6,nano-scale,low,high
MP0011,PET,0.05,fragment,pristine,negative,0.23,0.7700000000000001,0.55,0.35400000000000004,0.642,0.6,1.25,0.6,nano-scale,low,high
MP0012,PET,0.05,fragment,pristine,positive,0.23,0.81,0.55,0.35400000000000004,0.642,0.8,1.25,0.6,nano-scale,low,high
MP0013,PET,0.05,fragment,UV-aged,neutral,0.8300000000000001,0.79,0.55,0.654,0.722,0.3,1.25,0.6,nano-scale,high,high
MP0014,PET,0.05,fragment,UV-aged,negative,0.8300000000000001,0.85,0.55,0.654,0.722,0.6,1.25,0.6,nano-scale,high,high
MP0015,PET,0.05,fragment,UV-aged,positive,0.8300000000000001,0.89,0.55,0.654,0.722,0.8,1.25,0.6,nano-scale,high,high
MP0016,PET,0.05,fragment,oxidized,neutral,1.0,0.81,0.55,0.8039999999999999,0.742,0.3,1.25,0.6,nano-scale,high,high
MP0017,PET,0.05,fragment,oxidized,negative,1.0,0.87,0.55,0.8039999999999999,0.742,0.6,1.25,0.6,nano-scale,high,high
MP0018,PET,0.05,fragment,oxidized,positive,1.0,0.91,0.55,0.8039999999999999,0.742,0.8,1.25,0.6,nano-scale,high,high
MP0019,PET,0.05,fiber,pristine,neutral,0.23,0.7000000000000001,0.55,0.374,0.632,0.3,1.6,0.85,nano-scale,low,high
MP0020,PET,0.05,fiber,pristine,negative,0.23,0.7600000000000001,0.55,0.374,0.632,0.6,1.6,0.85,nano-scale,low,high
MP0021,PET,0.05,fiber,pristine,positive,0.23,0.8,0.55,0.374,0.632,0.8,1.6,0.85,nano-scale,low,high
MP0022,PET,0.05,fiber,UV-aged,neutral,0.8300000000000001,0.78,0.55,0.674,0.712,0.3,1.6,0.85,nano-scale,high,high
MP0023,PET,0.05,fiber,UV-aged,negative,0.8300000000000001,0.84,0.55,0.674,0.712,0.6,1.6,0.85,nano-scale,high,high
MP0024,PET,0.05,fiber,UV-aged,positive,0.8300000000000001,0.88,0.55,0.674,0.712,0.8,1.6,0.85,nano-scale,high,high
MP0025,PET,0.05,fiber,oxidized,neutral,1.0,0.8,0.55,0.824,0.732,0.3,1.6,0.85,nano-scale,high,high
MP0026,PET,0.05,fiber,oxidized,negative,1.0,0.86,0.55,0.824,0.732,0.6,1.6,0.85,nano-scale,high,high
MP0027,PET,0.05,fiber,oxidized,positive,1.0,0.9,0.55,0.824,0.732,0.8,1.6,0.85,nano-scale,high,high
MP0028,PET,0.1,sphere,pristine,neutral,0.23,0.67,0.55,0.274,0.612,0.3,1.0,0.3,nano-scale,low,high
MP0029,PET,0.1,sphere,pristine,negative,0.23,0.7300000000000001,0.55,0.274,0.612,0.6,1.0,0.3,nano-scale,low,high
MP0030,PET,0.1,sphere,pristine,positive,0.23,0.77,0.55,0.274,0.612,0.8,1.0,0.3,nano-scale,low,high
MP0031,PET,0.1,sphere,UV-aged,neutral,0.8300000000000001,0.75,0.55,0.5740000000000001,0.692,0.3,1.0,0.3,nano-scale,high,high
MP0032,PET,0.1,sphere,UV-aged,negative,0.8300000000000001,0.8099999999999999,0.55,0.5740000000000001,0.692,0.6,1.0,0.3,nano-scale,high,high
MP0033,PET,0.1,sphere,UV-aged,positive,0.8300000000000001,0.85,0.55,0.5740000000000001,0.692,0.8,1.0,0.3,nano-scale,high,high
MP0034,PET,0.1,sphere,oxidized,neutral,1.0,0.77,0.55,0.724,0.712,0.3,1.0,0.3,nano-scale,high,high
MP0035,PET,0.1,sphere,oxidized,negative,1.0,0.83,0.55,0.724,0.712,0.6,1.0,0.3,nano-scale,high,high
MP0036,PET,0.1,sphere,oxidized,positive,1.0,0.87,0.55,0.724,0.712,0.8,1.0,0.3,nano-scale,high,high
MP0037,PET,0.1,fragment,pristine,neutral,0.23,0.7100000000000001,0.55,0.35400000000000004,0.642,0.3,1.25,0.6,nano-scale,low,high
MP0038,PET,0.1,fragment,pristine,negative,0.23,0.7700000000000001,0.55,0.35400000000000004,0.642,0.6,1.25,0.6,nano-scale,low,high
MP0039,PET,0.1,fragment,pristine,positive,0.23,0.81,0.55,0.35400000000000004,0.642,0.8,1.25,0.6,nano-scale,low,high
MP0040,PET,0.1,fragment,UV-aged,neutral,0.8300000000000001,0.79,0.55,0.654,0.722,0.3,1.25,0.6,nano-scale,high,high
MP0041,PET,0.1,fragment,UV-aged,negative,0.8300000000000001,0.85,0.55,0.654,0.722,0.6,1.25,0.6,nano-scale,high,high
MP0042,PET,0.1,fragment,UV-aged,positive,0.8300000000000001,0.89,0.55,0.654,0.722,0.8,1.25,0.6,nano-scale,high,high
MP0043,PET,0.1,fragment,oxidized,neutral,1.0,0.81,0.55,0.8039999999999999,0.742,0.3,1.25,0.6,nano-scale,high,high
MP0044,PET,0.1,fragment,oxidized,negative,1.0,0.87,0.55,0.8039999999999999,0.742,0.6,1.25,0.6,nano-scale,high,high
MP0045,PET,0.1,fragment,oxidized,positive,1.0,0.91,0.55,0.8039999999999999,0.742,0.8,1.25,0.6,nano-scale,high,high
MP0046,PET,0.1,fiber,pristine,neutral,0.23,0.7000000000000001,0.55,0.374,0.632,0.3,1.6,0.85,nano-scale,low,high
MP0047,PET,0.1,fiber,pristine,negative,0.23,0.7600000000000001,0.55,0.374,0.632,0.6,1.6,0.85,nano-scale,low,high
MP0048,PET,0.1,fiber,pristine,positive,0.23,0.8,0.55,0.374,0.632,0.8,1.6,0.85,nano-scale,low,high
MP0049,PET,0.1,fiber,UV-aged,neutral,0.8300000000000001,0.78,0.55,0.674,0.712,0.3,1.6,0.85,nano-scale,high,high
MP0050,PET,0.1,fiber,UV-aged,negative,0.8300000000000001,0.84,0.55,0.674,0.712,0.6,1.6,0.85,nano-scale,high,high
MP0051,PET,0.1,fiber,UV-aged,positive,0.8300000000000001,0.88,0.55,0.674,0.712,0.8,1.6,0.85,nano-scale,high,high
MP0052,PET,0.1,fiber,oxidized,neutral,1.0,0.8,0.55,0.824,0.732,0.3,1.6,0.85,nano-scale,high,high
MP0053,PET,0.1,fiber,oxidized,negative,1.0,0.86,0.55,0.824,0.732,0.6,1.6,0.85,nano-scale,high,high
MP0054,PET,0.1,fiber,oxidized,positive,1.0,0.9,0.55,0.824,0.732,0.8,1.6,0.85,nano-scale,high,high
MP0055,PET,1.0,sphere,pristine,neutral,0.22,0.63,0.55,0.266,0.608,0.3,1.0,0.3,submicron-to-small,low,moderate
MP0056,PET,1.0,sphere,pristine,negative,0.22,0.6900000000000001,0.55,0.266,0.608,0.6,1.0,0.3,submicron-to-small,low,high
MP0057,PET,1.0,sphere,pristine,positive,0.22,0.73,0.55,0.266,0.608,0.8,1.0,0.3,submicron-to-small,low,high
MP0058,PET,1.0,sphere,UV-aged,neutral,0.8200000000000001,0.71,0.55,0.5660000000000001,0.688,0.3,1.0,0.3,submicron-to-small,high,high
MP0059,PET,1.0,sphere,UV-aged,negative,0.8200000000000001,0.7699999999999999,0.55,0.5660000000000001,0.688,0.6,1.0,0.3,submicron-to-small,high,high
MP0060,PET,1.0,sphere,UV-aged,positive,0.8200000000000001,0.8099999999999999,0.55,0.5660000000000001,0.688,0.8,1.0,0.3,submicron-to-small,high,high
MP0061,PET,1.0,sphere,oxidized,neutral,1.0,0.73,0.55,0.716,0.708,0.3,1.0,0.3,submicron-to-small,high,high
MP0062,PET,1.0,sphere,oxidized,negative,1.0,0.7899999999999999,0.55,0.716,0.708,0.6,1.0,0.3,submicron-to-small,high,high
MP0063,PET,1.0,sphere,oxidized,positive,1.0,0.83,0.55,0.716,0.708,0.8,1.0,0.3,submicron-to-small,high,high
MP0064,PET,1.0,fragment,pristine,neutral,0.22,0.67,0.55,0.34600000000000003,0.638,0.3,1.25,0.6,submicron-to-small,low,high
MP0065,PET,1.0,fragment,pristine,negative,0.22,0.7300000000000001,0.55,0.34600000000000003,0.638,0.6,1.25,0.6,submicron-to-small,low,high
MP0066,PET,1.0,fragment,pristine,positive,0.22,0.77,0.55,0.34600000000000003,0.638,0.8,1.25,0.6,submicron-to-small,low,high
MP0067,PET,1.0,fragment,UV-aged,neutral,0.8200000000000001,0.75,0.55,0.646,0.718,0.3,1.25,0.6,submicron-to-small,high,high
MP0068,PET,1.0,fragment,UV-aged,negative,0.8200000000000001,0.8099999999999999,0.55,0.646,0.718,0.6,1.25,0.6,submicron-to-small,high,high
MP0069,PET,1.0,fragment,UV-aged,positive,0.8200000000000001,0.85,0.55,0.646,0.718,0.8,1.25,0.6,submicron-to-small,high,high
MP0070,PET,1.0,fragment,oxidized,neutral,1.0,0.77,0.55,0.7959999999999999,0.738,0.3,1.25,0.6,submicron-to-small,high,high
MP0071,PET,1.0,fragment,oxidized,negative,1.0,0.83,0.55,0.7959999999999999,0.738,0.6,1.25,0.6,submicron-to-small,high,high
MP0072,PET,1.0,fragment,oxidized,positive,1.0,0.87,0.55,0.7959999999999999,0.738,0.8,1.25,0.6,submicron-to-small,high,high
MP0073,PET,1.0,fiber,pristine,neutral,0.22,0.66,0.55,0.366,0.628,0.3,1.6,0.85,submicron-to-small,low,high
MP0074,PET,1.0,fiber,pristine,negative,0.22,0.7200000000000001,0.55,0.366,0.628,0.6,1.6,0.85,submicron-to-small,low,high
MP0075,PET,1.0,fiber,pristine,positive,0.22,0.76,0.55,0.366,0.628,0.8,1.6,0.85,submicron-to-small,low,high
MP0076,PET,1.0,fiber,UV-aged,neutral,0.8200000000000001,0.74,0.55,0.666,0.708,0.3,1.6,0.85,submicron-to-small,high,high
MP0077,PET,1.0,fiber,UV-aged,negative,0.8200000000000001,0.7999999999999999,0.55,0.666,0.708,0.6,1.6,0.85,submicron-to-small,high,high
MP0078,PET,1.0,fiber,UV-aged,positive,0.8200000000000001,0.84,0.55,0.666,0.708,0.8,1.6,0.85,submicron-to-small,high,high
MP0079,PET,1.0,fiber,oxidized,neutral,1.0,0.76,0.55,0.816,0.728,0.3,1.6,0.85,submicron-to-small,high,high
MP0080,PET,1.0,fiber,oxidized,negative,1.0,0.82,0.55,0.816,0.728,0.6,1.6,0.85,submicron-to-small,high,high
MP0081,PET,1.0,fiber,oxidized,positive,1.0,0.86,0.55,0.816,0.728,0.8,1.6,0.85,submicron-to-small,high,high
MP0082,PET,5.0,sphere,pristine,neutral,0.21000000000000002,0.5900000000000001,0.55,0.258,0.604,0.3,1.0,0.3,small microplastic,low,moderate
MP0083,PET,5.0,sphere,pristine,negative,0.21000000000000002,0.6500000000000001,0.55,0.258,0.604,0.6,1.0,0.3,small microplastic,low,high
MP0084,PET,5.0,sphere,pristine,positive,0.21000000000000002,0.6900000000000001,0.55,0.258,0.604,0.8,1.0,0.3,small microplastic,low,high
MP0085,PET,5.0,sphere,UV-aged,neutral,0.81,0.67,0.55,0.558,0.6839999999999999,0.3,1.0,0.3,small microplastic,high,high
MP0086,PET,5.0,sphere,UV-aged,negative,0.81,0.73,0.55,0.558,0.6839999999999999,0.6,1.0,0.3,small microplastic,high,high
MP0087,PET,5.0,sphere,UV-aged,positive,0.81,0.77,0.55,0.558,0.6839999999999999,0.8,1.0,0.3,small microplastic,high,high
MP0088,PET,5.0,sphere,oxidized,neutral,1.0,0.6900000000000001,0.55,0.708,0.704,0.3,1.0,0.3,small microplastic,high,high
MP0089,PET,5.0,sphere,oxidized,negative,1.0,0.75,0.55,0.708,0.704,0.6,1.0,0.3,small microplastic,high,high
MP0090,PET,5.0,sphere,oxidized,positive,1.0,0.79,0.55,0.708,0.704,0.8,1.0,0.3,small microplastic,high,high
MP0091,PET,5.0,fragment,pristine,neutral,0.21000000000000002,0.6300000000000001,0.55,0.338,0.634,0.3,1.25,0.6,small microplastic,low,moderate
MP0092,PET,5.0,fragment,pristine,negative,0.21000000000000002,0.6900000000000002,0.55,0.338,0.634,0.6,1.25,0.6,small microplastic,low,high
MP0093,PET,5.0,fragment,pristine,positive,0.21000000000000002,0.7300000000000001,0.55,0.338,0.634,0.8,1.25,0.6,small microplastic,low,high
MP0094,PET,5.0,fragment,UV-aged,neutral,0.81,0.7100000000000001,0.55,0.638,0.714,0.3,1.25,0.6,small microplastic,high,high
MP0095,PET,5.0,fragment,UV-aged,negative,0.81,0.77,0.55,0.638,0.714,0.6,1.25,0.6,small microplastic,high,high
MP0096,PET,5.0,fragment,UV-aged,positive,0.81,0.81,0.55,0.638,0.714,0.8,1.25,0.6,small microplastic,high,high
MP0097,PET,5.0,fragment,oxidized,neutral,1.0,0.7300000000000001,0.55,0.7879999999999999,0.734,0.3,1.25,0.6,small microplastic,high,high
MP0098,PET,5.0,fragment,oxidized,negative,1.0,0.79,0.55,0.7879999999999999,0.734,0.6,1.25,0.6,small microplastic,high,high
MP0099,PET,5.0,fragment,oxidized,positive,1.0,0.8300000000000001,0.55,0.7879999999999999,0.734,0.8,1.25,0.6,small microplastic,high,high
MP0100,PET,5.0,fiber,pristine,neutral,0.21000000000000002,0.6200000000000001,0.55,0.358,0.624,0.3,1.6,0.85,small microplastic,low,moderate
MP0101,PET,5.0,fiber,pristine,negative,0.21000000000000002,0.6800000000000002,0.55,0.358,0.624,0.6,1.6,0.85,small microplastic,low,high
MP0102,PET,5.0,fiber,pristine,positive,0.21000000000000002,0.7200000000000001,0.55,0.358,0.624,0.8,1.6,0.85,small microplastic,low,high
MP0103,PET,5.0,fiber,UV-aged,neutral,0.81,0.7000000000000001,0.55,0.658,0.704,0.3,1.6,0.85,small microplastic,high,high
MP0104,PET,5.0,fiber,UV-aged,negative,0.81,0.76,0.55,0.658,0.704,0.6,1.6,0.85,small microplastic,high,high
MP0105,PET,5.0,fiber,UV-aged,positive,0.81,0.8,0.55,0.658,0.704,0.8,1.6,0.85,small microplastic,high,high
MP0106,PET,5.0,fiber,oxidized,neutral,1.0,0.7200000000000001,0.55,0.8079999999999999,0.724,0.3,1.6,0.85,small microplastic,high,high
MP0107,PET,5.0,fiber,oxidized,negative,1.0,0.78,0.55,0.8079999999999999,0.724,0.6,1.6,0.85,small microplastic,high,high
MP0108,PET,5.0,fiber,oxidized,positive,1.0,0.8200000000000001,0.55,0.8079999999999999,0.724,0.8,1.6,0.85,small microplastic,high,high
MP0109,PET,10.0,sphere,pristine,neutral,0.2,0.55,0.55,0.25,0.6,0.3,1.0,0.3,larger microplastic,low,moderate
MP0110,PET,10.0,sphere,pristine,negative,0.2,0.6100000000000001,0.55,0.25,0.6,0.6,1.0,0.3,larger microplastic,low,moderate
MP0111,PET,10.0,sphere,pristine,positive,0.2,0.65,0.55,0.25,0.6,0.8,1.0,0.3,larger microplastic,low,moderate
MP0112,PET,10.0,sphere,UV-aged,neutral,0.8,0.63,0.55,0.55,0.6799999999999999,0.3,1.0,0.3,larger microplastic,high,moderate
MP0113,PET,10.0,sphere,UV-aged,negative,0.8,0.69,0.55,0.55,0.6799999999999999,0.6,1.0,0.3,larger microplastic,high,high
MP0114,PET,10.0,sphere,UV-aged,positive,0.8,0.73,0.55,0.55,0.6799999999999999,0.8,1.0,0.3,larger microplastic,high,high
