risk_rank,simulation_id,exposure_scenario_id,particle_id,polymer,size_um,size_class,shape,aging,charge,dose_level,daily_dose_unit,duration_days,gut_status,diet_state,particle_hazard_potential,interaction_risk_proxy,lymphatic_burden_index,macrophage_activation_score,ROS_score,cytokine_activation_score,systemic_inflammatory_spillover_score,immune_dysregulation_score,lymphatic_microplastic_immune_risk_index,final_risk_class,dominant_mechanistic_driver
1,SIM048357,EXP0072,MP0432,PS,0.05,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.8499133944177174,0.8187628547908329,0.9931026043942782,0.9198730930140803,0.9075654524046798,0.9137962479322984,0.9149542935016045,0.932811352038478,0.874641652884942,severe,lymphatic burden dominated
2,SIM048384,EXP0072,MP0459,PS,0.1,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.8477290659560134,0.8179395721818717,0.993330412338909,0.9193824147240258,0.9068914362701553,0.9133877937474957,0.9146649047458503,0.9324476926657698,0.8742634299695458,severe,lymphatic burden dominated
3,SIM048356,EXP0072,MP0431,PS,0.05,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.8244045716367447,0.8078602268336948,0.994006053705014,0.911172115076921,0.8987441910015489,0.9086657088936991,0.9123745486981156,0.9275700603796465,0.8686453230863113,severe,lymphatic burden dominated
4,SIM048383,EXP0072,MP0458,PS,0.1,nano-scale,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.8222455001793612,0.807021912721053,0.9942157962396636,0.9106802539489276,0.8980698554996105,0.9082552572791253,0.9120808484409457,0.927203412382029,0.8682490764330255,severe,lymphatic burden dominated
5,SIM048492,EXP0072,MP0567,PVC,0.05,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.8302523729231442,0.8076853804660397,0.9857772643090872,0.9113973746099626,0.8986106796278264,0.9075235283578512,0.9117720886198992,0.9262514237453511,0.8660256715658484,severe,lymphatic burden dominated
6,SIM048354,EXP0072,MP0429,PS,0.05,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.8033939774459169,0.8039249293236533,0.9926713035197564,0.9101636753394056,0.8934886534164492,0.9065226485900169,0.9110809732457148,0.925230253798973,0.8659715799618427,severe,lymphatic burden dominated
7,SIM048519,EXP0072,MP0594,PVC,0.1,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.8280996316238466,0.8068473745719899,0.9863927552642218,0.910947126677533,0.8980109994651001,0.9073610158987764,0.91152804380767,0.9260381878809922,0.8657464786796397,severe,lymphatic burden dominated
8,SIM048381,EXP0072,MP0456,PS,0.1,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.8012222647805068,0.803071000750032,0.9928590201113604,0.9096642919636652,0.8928038574124109,0.9061055577656449,0.9107819529546404,0.9248549995195353,0.865559864787741,severe,lymphatic burden dominated
9,SIM048087,EXP0072,MP0162,PE,0.05,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.8165305399351886,0.800808379562932,0.99932856747834,0.9035551969099773,0.8950613544494369,0.9058243341850487,0.9113526477273881,0.9250648087606276,0.8649810453813664,severe,lymphatic burden dominated
10,SIM048411,EXP0072,MP0486,PS,1.0,submicron-to-small,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.8173245789978065,0.802095487801693,0.9925954164556612,0.9090239036566719,0.8954096255909124,0.9061562184831038,0.9098380748142834,0.9253340940994811,0.8647706969944219,severe,lymphatic burden dominated
