category,n_scenarios,mean_final_risk,sd_final_risk,median_final_risk,max_final_risk,severe_rate,high_or_severe_rate,factor,delta_from_overall_mean,absolute_delta_from_overall_mean,eta_squared_factor
normal,16200,0.35178217264682815,0.05825637639627592,0.3452535773570749,0.5597567149715312,0.0,0.011358024691358024,gut_status,-0.10871774360757169,0.10871774360757169,0.41311687071824593
high,16200,0.5553087260300738,0.1315949611853722,0.5677815774040509,0.874641652884942,0.07037037037037037,0.6434567901234568,dose_level,0.09480880977567391,0.09480880977567391,0.3651206350947306
low,16200,0.3722553659682503,0.059605080755747,0.3826400875406198,0.5118665307307451,0.0,0.0008024691358024691,dose_level,-0.08824455028614953,0.08824455028614953,0.3651206350947306
barrier-impaired,16200,0.5403585464162437,0.11800895973492705,0.5250789804465876,0.874641652884942,0.06074074074074074,0.5667283950617283,gut_status,0.07985863016184386,0.07985863016184386,0.41311687071824593
larger microplastic,9720,0.4208709153599949,0.11212916934892092,0.39912614315597883,0.8108741527388554,0.0049382716049382715,0.24156378600823045,size_class,-0.039629000894404964,0.039629000894404964,0.04346252915343644
365,12150,0.498305759177696,0.14661602097020565,0.45972289303231006,0.874641652884942,0.07827160493827161,0.4162139917695473,duration_days,0.03780584292329614,0.03780584292329614,0.0400330093545715
pristine,16200,0.4273044457272188,0.11453356650523204,0.4049809234889006,0.8256292640016083,0.0072839506172839505,0.2562962962962963,aging,-0.033195470527181026,0.033195470527181026,0.03796108767945041
inflamed,16200,0.48935902970012746,0.09856930085277361,0.4752657365526993,0.8250219217837335,0.00962962962962963,0.4190740740740741,gut_status,0.028859113445727613,0.028859113445727613,0.41311687071824593
30,12150,0.4316988626026569,0.10123092387255063,0.4179732949026393,0.7096549626436028,0.0,0.25835390946502057,duration_days,-0.02880105365174296,0.02880105365174296,0.0400330093545715
nano-scale,19440,0.4857007336228577,0.1256101610781313,0.4557761840453666,0.874641652884942,0.03693415637860082,0.3878086419753086,size_class,0.025200817368457862,0.025200817368457862,0.04346252915343644
oxidized,16200,0.48401606701674404,0.12623226847014435,0.45428236989037185,0.874641652884942,0.03666666666666667,0.38512345679012344,aging,0.0235161507623442,0.0235161507623442,0.03796108767945041
sphere,16200,0.4378867605274495,0.11753938817479703,0.41419425268683663,0.835247049459576,0.010802469135802469,0.28160493827160493,shape,-0.02261315572695033,0.02261315572695033,0.018854006878670834
