analysis_block,factor,sensitivity_score,mean_feature_importance,sd_feature_importance,n_model_features,method,model_r2,model_rmse,n_model_rows,n_model_features_total
exogenous scenario factors,gut_status,0.892996227993501,0.297665409331167,0.005412238867627456,3,random forest permutation importance,0.9917048332390731,0.011422060677612016,30000,28
exogenous scenario factors,dose_level,0.748932642051386,0.24964421401712866,0.0035276845510003167,3,random forest permutation importance,0.9917048332390731,0.011422060677612016,30000,28
exogenous scenario factors,duration_days,0.12157819704763448,0.12157819704763448,0.002633318339222784,1,random forest permutation importance,0.9917048332390731,0.011422060677612016,30000,28
exogenous scenario factors,size_um,0.08288335933234478,0.08288335933234478,0.0010495276058685005,1,random forest permutation importance,0.9917048332390731,0.011422060677612016,30000,28
exogenous scenario factors,aging,0.07501672843747964,0.025005576145826547,0.00029542904122592783,3,random forest permutation importance,0.9917048332390731,0.011422060677612016,30000,28
exogenous scenario factors,shape,0.03561998189002374,0.011873327296674578,0.000205992090878613,3,random forest permutation importance,0.9917048332390731,0.011422060677612016,30000,28
exogenous scenario factors,charge,0.004959549674554342,0.0016531832248514473,4.488033532090252e-05,3,random forest permutation importance,0.9917048332390731,0.011422060677612016,30000,28
exogenous scenario factors,diet_state,0.0033435652047558943,0.0016717826023779471,4.9305231919346645e-05,2,random forest permutation importance,0.9917048332390731,0.011422060677612016,30000,28
exogenous scenario factors,size_class,0.002142900263868564,0.000535725065967141,2.470884299193466e-05,4,random forest permutation importance,0.9917048332390731,0.011422060677612016,30000,28
exogenous scenario factors,polymer,0.0006347838999910316,0.0001269567799982063,5.552090096641633e-06,5,random forest permutation importance,0.9917048332390731,0.011422060677612016,30000,28
