model_feature,permutation_importance_mean,permutation_importance_sd,factor
size_um,0.08288335933234478,0.0010495276058685005,size_um
duration_days,0.12157819704763448,0.002633318339222784,duration_days
polymer__PE,2.418215883226438e-06,5.487942699512305e-07,polymer
polymer__PET,0.0002445220517518498,9.594414435484311e-06,polymer
polymer__PP,3.793328909207361e-07,2.1076831338033169e-07,polymer
polymer__PS,0.0003805607971620217,1.615472507041039e-05,polymer
polymer__PVC,6.903502303012843e-06,1.2517483939818957e-06,polymer
size_class__larger microplastic,0.0005752061863745662,4.4285094962923735e-05,size_class
size_class__nano-scale,0.0006143777632656056,1.2961255011981348e-05,size_class
size_class__small microplastic,0.0006613952153103009,2.6715147137344115e-05,size_class
size_class__submicron-to-small,0.00029192109891809095,1.487387485548945e-05,size_class
shape__fiber,0.0010987430687430689,3.4078307191810036e-05,shape
shape__fragment,0.0007189536749156345,3.5937874134533514e-05,shape
shape__sphere,0.03380228514636503,0.0005479600913094953,shape
aging__UV-aged,0.0007087815207917014,1.3215942388268026e-05,aging
aging__oxidized,0.0007404133085359588,2.4203660256247007e-05,aging
aging__pristine,0.07356753360815198,0.0008488675210332685,aging
charge__negative,2.7220419564977227e-05,2.386492499506116e-06,charge
charge__neutral,0.0037802034566909227,9.118160271132034e-05,charge
charge__positive,0.0011521257982984423,4.107291075188109e-05,charge
dose_level__high,0.6628025573812881,0.00923679149243151,dose_level
dose_level__low,0.059350463299919644,0.0007639016003722673,dose_level
dose_level__medium,0.026779621370178176,0.0005823605601971733,dose_level
gut_status__barrier-impaired,0.0123889935936907,0.00022637542789830337,gut_status
gut_status__inflamed,0.020258223895710525,0.00020289093641985266,gut_status
gut_status__normal,0.8603490105040997,0.01580745023856421,gut_status
diet_state__high-fat,0.0016672198793615145,5.0789077409396504e-05,diet_state
diet_state__normal,0.0016763453253943795,4.782138642929678e-05,diet_state
