factor,spearman_rho,absolute_spearman_rho,direction
macrophage_activation_score,0.9942854046018128,0.9942854046018128,positive
ROS_score,0.9735537466882905,0.9735537466882905,positive
lymphatic_burden_index,0.9653245168287702,0.9653245168287702,positive
cytokine_activation_score,0.9644995363441853,0.9644995363441853,positive
interaction_risk_proxy,0.950318312306309,0.950318312306309,positive
systemic_inflammatory_spillover_score,0.9378632620064384,0.9378632620064384,positive
host_adjusted_exposure_pressure,0.8894272100374714,0.8894272100374714,positive
systemic_spillover_potential,0.8830258359662434,0.8830258359662434,positive
lymphatic_entry_score,0.8435569006936283,0.8435569006936283,positive
gut_to_lymph_translocation,0.7302394653894438,0.7302394653894438,positive
MLN_retention,0.7290044917608651,0.7290044917608651,positive
macrophage_uptake_potential,0.7001362676301597,0.7001362676301597,positive
P_Mcell,0.4313002459365741,0.4313002459365741,positive
particle_hazard_potential,0.2975331966613941,0.2975331966613941,positive
size_um,-0.20018702991430054,0.20018702991430054,negative
duration_days,0.15892672022487372,0.15892672022487372,positive
mucus_retention,-0.08033263783642243,0.08033263783642243,negative
