model_feature,permutation_importance_mean,permutation_importance_sd,factor
particle_hazard_potential,0.001955247003758198,6.803944750674344e-05,particle_hazard_potential
mucus_retention,0.0006003267449987248,3.953806240107842e-05,mucus_retention
P_Mcell,0.001284445895314268,6.0335678424544445e-05,P_Mcell
gut_to_lymph_translocation,0.003032971989249944,4.275440940122524e-05,gut_to_lymph_translocation
lymphatic_entry_score,0.0004653654511838967,1.7460955901152865e-05,lymphatic_entry_score
MLN_retention,0.004159301431799811,0.00012212435030324587,MLN_retention
macrophage_uptake_potential,0.00039215786289237275,2.4826302879854036e-05,macrophage_uptake_potential
systemic_spillover_potential,0.007759038437683663,0.0005025802496162204,systemic_spillover_potential
interaction_risk_proxy,0.5733561178449702,0.0045355158328430215,interaction_risk_proxy
host_adjusted_exposure_pressure,0.47312895081989925,0.0044853419512051,host_adjusted_exposure_pressure
