polymer,size_class,shape,aging,n_particles,mean_surface_score,mean_effective_size_um,mean_mucus_affinity,mean_intrinsic_translocation,mean_macrophage_recognition,mean_particle_hazard
PE,larger microplastic,fiber,UV-aged,3,0.6968333333333335,20.906666666666666,0.8026773626436644,0.5167536080460047,0.586230970689669,0.6438235201436845
PE,larger microplastic,fiber,oxidized,3,0.7753333333333333,21.066666666666666,0.8217294867149749,0.5396743599033836,0.6105038466183585,0.6951650643115949
PE,larger microplastic,fiber,pristine,3,0.47783333333333333,20.266666666666666,0.74544265603184,0.4488730212696534,0.5129156773014933,0.49616913811900537
PE,larger microplastic,fragment,UV-aged,3,0.6968333333333335,16.395833333333332,0.7430238051363949,0.5160607230605437,0.5498845281969386,0.6277526210219556
PE,larger microplastic,fragment,oxidized,3,0.7753333333333335,16.520833333333332,0.7620702540255424,0.5389928252822487,0.574163079307791,0.6790967190218393
PE,larger microplastic,fragment,pristine,3,0.47783333333333333,15.895833333333334,0.6858126466790927,0.44813303997514814,0.47654568665424063,0.48008764232774165
PE,larger microplastic,sphere,UV-aged,3,0.6738333333333335,12.916666666666666,0.6616288691596898,0.4939005950139537,0.4849294641736435,0.587965342211473
PE,larger microplastic,sphere,oxidized,3,0.7523333333333335,13.016666666666666,0.6806753180488374,0.5168326972356586,0.509208015284496,0.6393094402113565
PE,larger microplastic,sphere,pristine,3,0.45483333333333337,12.516666666666666,0.6044177107023877,0.4259729119285581,0.41159062263094576,0.44030036351725893
PE,nano-scale,fiber,UV-aged,6,0.7331333333333334,0.16400000000000006,0.6859073031891426,0.8338887269550482,0.7673360301441909,0.7392280468982193
PE,nano-scale,fiber,oxidized,6,0.8041333333333335,0.16520000000000004,0.7031564769400632,0.8555403794532069,0.7900368563932703,0.7857409187103049
PE,nano-scale,fiber,pristine,6,0.5141333333333334,0.15920000000000004,0.62991006415744,0.7635332050184532,0.6927832691758934,0.5910168044624853
PE,nano-scale,fragment,UV-aged,6,0.7331333333333334,0.12859374999999998,0.6359314830042087,0.8138403673249162,0.7213118503291248,0.7188021659814395
PE,nano-scale,fragment,oxidized,6,0.8041333333333336,0.12953125000000001,0.6531711994417865,0.8355109344497605,0.7440221338915469,0.7653192935845295
PE,nano-scale,fragment,pristine,6,0.5141333333333333,0.12484374999999999,0.5799722610086224,0.7434088113160886,0.6467210723247109,0.5705738158794532
PE,nano-scale,sphere,UV-aged,6,0.7101333333333336,0.101375,0.5641626258220459,0.7724280816892416,0.6467307075112875,0.6746831517134128
PE,nano-scale,sphere,oxidized,6,0.7811333333333335,0.10212500000000001,0.5813952505782334,0.7941128321768668,0.6694480827551,0.7212034705731284
PE,nano-scale,sphere,pristine,6,0.4911333333333334,0.098375,0.5082318856473224,0.7019395620386887,0.572111447686011,0.5264419847920384
PE,small microplastic,fiber,UV-aged,3,0.7089333333333334,10.613333333333335,0.7803963519919991,0.5891806293493352,0.6299569813413344,0.6681359749369339
