particle_id,polymer,size_um,size_class,shape,aging,charge,surface_score,effective_size_um,small_size_score,mucus_affinity_potential,intrinsic_translocation_potential,macrophage_recognition_potential,leachate_toxic_potential,particle_hazard_potential
MP0432,PS,0.05,nano-scale,fiber,oxidized,positive,0.8618000000000001,0.11800000000000004,0.9841095469291463,0.6972435679606281,0.8906828640787439,0.8905664320393719,0.86318,0.8499133944177174
MP0459,PS,0.1,nano-scale,fiber,oxidized,positive,0.8618000000000001,0.23600000000000007,0.951749125274272,0.7020976312088593,0.8809747375822816,0.8857123687911408,0.86318,0.8477290659560134
MP0567,PVC,0.05,nano-scale,fiber,oxidized,positive,0.8368,0.11600000000000002,0.9846870062688048,0.6546569490596793,0.8596061018806413,0.8719030509403208,0.8676799999999999,0.8302523729231442
MP0423,PS,0.05,nano-scale,fragment,oxidized,positive,0.8618,0.0925,0.9915507540670812,0.6476273868899379,0.8699152262201244,0.8441826131100622,0.86708,0.8293256758995281
MP0594,PVC,0.1,nano-scale,fiber,oxidized,positive,0.8368,0.23200000000000004,0.9527945425755032,0.6594408186136745,0.8500383627726509,0.8671191813863256,0.8676799999999999,0.8280996316238466
MP0450,PS,0.1,nano-scale,fragment,oxidized,positive,0.8618,0.185,0.9653389578776804,0.6515591563183479,0.8620516873633042,0.840250843681652,0.86708,0.8275563796567434
MP0431,PS,0.05,nano-scale,fiber,oxidized,negative,0.8338000000000001,0.11640000000000003,0.984571431655478,0.6855742852516783,0.8758214294966434,0.8436357147483218,0.8511799999999999,0.8244045716367447
MP0458,PS,0.1,nano-scale,fiber,oxidized,negative,0.8338000000000001,0.23280000000000006,0.9525851878423892,0.6903722218236416,0.8662255563527167,0.8388377781763584,0.8511799999999999,0.8222455001793612
MP0486,PS,1.0,submicron-to-small,fiber,oxidized,positive,0.8522,2.3280000000000003,0.6323048740415783,0.7420942688937634,0.7747414622124734,0.8253957311062368,0.8572199999999999,0.8173245789978065
MP0162,PE,0.05,nano-scale,fiber,oxidized,positive,0.8368000000000001,0.11200000000000002,0.9858450360768671,0.71448324458847,0.8774535108230601,0.84707675541153,0.7656800000000001,0.8165305399351886
MP0189,PE,0.1,nano-scale,fiber,oxidized,positive,0.8368000000000001,0.22400000000000003,0.95489559857341,0.7191256602139886,0.8681686795720229,0.8424343397860116,0.7656800000000001,0.8144414529037053
MP0297,PP,0.05,nano-scale,fiber,oxidized,positive,0.8318000000000001,0.11200000000000002,0.9858450360768671,0.69848324458847,0.8687035108230601,0.8458267554115301,0.7801800000000001,0.8143055399351886
MP0324,PP,0.1,nano-scale,fiber,oxidized,positive,0.8318000000000001,0.22400000000000003,0.95489559857341,0.7031256602139886,0.859418679572023,0.8411843397860116,0.7801800000000001,0.8122164529037053
MP0027,PET,0.05,nano-scale,fiber,oxidized,positive,0.8168000000000001,0.11600000000000002,0.9846870062688048,0.6356569490596793,0.8471061018806415,0.8669030509403207,0.82368,0.8113023729231443
MP0558,PVC,0.05,nano-scale,fragment,oxidized,positive,0.8368000000000002,0.0909375,0.992012341314956,0.6050581488027567,0.838803702394487,0.8255018511972435,0.87158,0.8096568330387597
MP0054,PET,0.1,nano-scale,fiber,oxidized,positive,0.8168000000000001,0.23200000000000004,0.9527945425755032,0.6404408186136745,0.837538362772651,0.8621191813863255,0.82368,0.8091496316238465
MP0585,PVC,0.1,nano-scale,fragment,oxidized,positive,0.8368000000000002,0.181875,0.9661905848711807,0.608931412269323,0.8310571754613543,0.8216285877306772,0.87158,0.8079138644788049
MP0566,PVC,0.05,nano-scale,fiber,oxidized,negative,0.8088,0.11440000000000002,0.9851497193396211,0.6429875420990568,0.8447449158018863,0.8249724579009432,0.8556799999999999,0.8047436060554244
MP0422,PS,0.05,nano-scale,fragment,oxidized,negative,0.8338000000000002,0.09125,0.9919199709992631,0.6359720043501105,0.8550259912997791,0.7972379956498895,0.85508,0.8038105980424504
MP0429,PS,0.05,nano-scale,fiber,UV-aged,positive,0.7908000000000002,0.11720000000000003,0.9843404066061743,0.680008939009074,0.8690021219818523,0.8678510609909262,0.79148,0.8033939774459169
MP0593,PVC,0.1,nano-scale,fiber,oxidized,negative,0.8088,0.22880000000000003,0.9536333231654315,0.6477150015251852,0.8352899969496294,0.8202449984748147,0.8556799999999999,0.8026162493136665
MP0449,PS,0.1,nano-scale,fragment,oxidized,negative,0.8338000000000002,0.1825,0.9660200794720006,0.6398569880791999,0.8472560238416003,0.7933530119208002,0.85508,0.8020623553643602
MP0456,PS,0.1,nano-scale,fiber,UV-aged,positive,0.7908000000000002,0.23440000000000005,0.9521668856371375,0.6848349671544295,0.8593500656911413,0.8630250328455706,0.79148,0.8012222647805068
MP0477,PS,1.0,submicron-to-small,fragment,oxidized,positive,0.8522000000000001,1.825,0.6851525377398257,0.6856671193390261,0.7675957613219477,0.7858228806609738,0.86112,0.7998017962974382
MP0621,PVC,1.0,submicron-to-small,fiber,oxidized,positive,0.8271999999999999,2.288,0.6362046912696092,0.6990092963095587,0.7446614073808827,0.8072307036904414,0.8617199999999999,0.7978878166606986
MP0153,PE,0.05,nano-scale,fragment,oxidized,positive,0.8368000000000002,0.0878125,0.9929375024629716,0.6649193746305544,0.8565812507388917,0.8006406253694458,0.7695799999999999,0.7959192814162508
