polymer,size_class,shape,aging,n_scenarios,mean_particle_hazard,mean_mucus_retention,mean_P_Mcell,mean_gut_to_lymph,mean_MLN_retention,mean_interaction_risk
PS,nano-scale,fiber,oxidized,432,0.8190757300514961,0.5897417834915063,0.808691875694092,0.6592592527398622,0.687611109155292,0.6939801073199187
PVC,nano-scale,fiber,oxidized,432,0.7994306421258293,0.5611688402210296,0.8003739212559698,0.6472992777543302,0.6740231166596324,0.6828626774160861
PS,nano-scale,fragment,oxidized,432,0.7986857575493502,0.5496490890550104,0.8129262780814748,0.6525110345687778,0.6500866437039667,0.6793022638864115
PS,nano-scale,fiber,UV-aged,432,0.772562676875178,0.5754604989593517,0.7977030787426054,0.6424563567479853,0.678570240357729,0.6789590270288547
PET,nano-scale,fiber,oxidized,432,0.7804806421258292,0.545484057612334,0.7978281237763137,0.6403985819886943,0.6719529079299416,0.6775758848787095
PS,submicron-to-small,fiber,oxidized,216,0.7877745897567311,0.6710037845832288,0.6787118234025127,0.6350776372707329,0.6723566245145532,0.6762028768183822
PE,nano-scale,fiber,oxidized,432,0.785740918710305,0.6191843214701536,0.7896003098091983,0.6556702905701235,0.6565344205043705,0.6755838373241417
PP,nano-scale,fiber,oxidized,432,0.783515918710305,0.6064995388614579,0.7889411203065179,0.6521855771975802,0.6554890064926074,0.6740544372613945
PVC,nano-scale,fragment,oxidized,432,0.7790301705388679,0.5211150312838496,0.8046974908871514,0.6405855868562486,0.636509009390208,0.668192089782059
PVC,nano-scale,fiber,UV-aged,432,0.7529176490513909,0.5468873330893198,0.7890353320684584,0.6303913995717347,0.6649507532048539,0.6678110528097598
PVC,submicron-to-small,fiber,oxidized,216,0.7683408592177586,0.6416480361768465,0.6684747911933671,0.6223853779267127,0.6585489467113471,0.6649285469709625
PS,nano-scale,fragment,UV-aged,432,0.7521685109113725,0.5353833358623352,0.8020993528997363,0.6357598063757212,0.6410612752460497,0.6642951076989021
PS,submicron-to-small,fragment,oxidized,216,0.7702319767465815,0.6203653142504497,0.7023869964255378,0.6320524951110846,0.6359490818666587,0.6633668511832288
PET,nano-scale,fragment,oxidized,432,0.7600801705388681,0.505430248675154,0.8021927285345405,0.6336972016287262,0.6344424938219512,0.6629088808423274
PET,nano-scale,fiber,UV-aged,432,0.733967649051391,0.5312025504806241,0.7863844702789635,0.6234591845131473,0.6628710886872775,0.662515085006205
PE,nano-scale,fragment,oxidized,432,0.7653192935845295,0.5792088589730258,0.7939926896898136,0.6489929120348825,0.6190312069437981,0.6609181886768267
PE,nano-scale,fiber,UV-aged,432,0.7392280468982193,0.6049023652186193,0.7778241746286617,0.6386310587656557,0.6474226509630301,0.6604940079612214
PS,submicron-to-small,fiber,UV-aged,216,0.7396907070033285,0.6559107577439794,0.6635183563614303,0.6164759917905583,0.6627761308705009,0.6603786385883085
PET,submicron-to-small,fiber,oxidized,216,0.7493908592177587,0.625963253568151,0.6649611289730339,0.6151943227388736,0.6563916301549955,0.6595572308057825
PP,nano-scale,fragment,oxidized,432,0.7630942935845296,0.5665240763643301,0.793343540446305,0.6455112107400909,0.6179866965553606,0.6593896654299128
PP,nano-scale,fiber,UV-aged,432,0.7370030468982193,0.5922175826099236,0.777138744702379,0.6351384732660317,0.6463748753131429,0.658962316322281
PE,submicron-to-small,fiber,oxidized,216,0.7550833734665331,0.6980626371878267,0.6565609587361306,0.6300941483917378,0.6408615778508547,0.6575719994022273
PP,submicron-to-small,fiber,oxidized,216,0.7528583734665333,0.6853778545791309,0.6556691463623784,0.6265396481578731,0.6397952277806952,0.6560222843841493
PVC,nano-scale,fragment,UV-aged,432,0.7325129633905755,0.5068491318330804,0.7935185214566447,0.6237287161369428,0.6274519481744162,0.6531541915681904
PVC,submicron-to-small,fragment,oxidized,216,0.7507766929080667,0.5910893928794095,0.6924240088580206,0.6194584145666213,0.6221708577033198,0.6521153632170597
PS,nano-scale,sphere,oxidized,432,0.7545937056545723,0.4980011331097433,0.808367687579386,0.6373638662290978,0.5925424932020628,0.6519803302560763
PS,small microplastic,fiber,oxidized,216,0.7502419848755848,0.7753452841430303,0.468322577986329,0.5913891635578381,0.6512500824006848,0.6510882455321999
PVC,submicron-to-small,fiber,UV-aged,216,0.720258285750233,0.6265501601306452,0.6530558827472424,0.6037151301836351,0.6489478723884239,0.6490846871831536
PET,nano-scale,fragment,UV-aged,432,0.7135629633905756,0.49116434922438484,0.7909085685660835,0.6168087737480353,0.6253759654577439,0.6478617963387795
PS,submicron-to-small,fragment,UV-aged,216,0.7221395333221369,0.6053039936002443,0.6877381567011648,0.6136205790637317,0.6264195070524529,0.6475897421501811
PET,submicron-to-small,fragment,oxidized,216,0.7318266929080666,0.5754046102707139,0.6890447408461516,0.6123076776413215,0.6200256366257298,0.6467557836981049
PE,nano-scale,fragment,UV-aged,432,0.7188021659814396,0.5649426649103959,0.7823710235330156,0.6320031733753171,0.6099342853459285,0.645841633782249
PE,submicron-to-small,fragment,oxidized,216,0.7374745366300454,0.6476694402859295,0.6806711965894936,0.6272485803673673,0.6045079074435435,0.6447706175436414
PP,nano-scale,fragment,UV-aged,432,0.7165771659814395,0.5522578823017003,0.7816955600371557,0.6285135778048201,0.6088874066747794,0.6443108125116773
PET,submicron-to-small,fiber,UV-aged,216,0.7013082857502331,0.6108653775219496,0.6494653228308032,0.5965010056869642,0.6467836350394227,0.6437066555421728
PP,submicron-to-small,fragment,oxidized,216,0.7352495366300453,0.6349846576772339,0.6798111381161055,0.6237036063036117,0.6034444152244168,0.6432236755936821
PE,submicron-to-small,fiber,UV-aged,216,0.7070035179586874,0.6829546946242923,0.6409066247228752,0.6113512596750543,0.6312387112358496,0.6417077174082676
PVC,nano-scale,sphere,oxidized,432,0.7349302267935707,0.4694963044145795,0.7999513176535158,0.625387989512304,0.5789497301870246,0.6408533752826
PP,submicron-to-small,fiber,UV-aged,216,0.7047785179586875,0.6702699120155967,0.6399966461931927,0.6077913095944105,0.6301707262116565,0.6401564159397922
PVC,small microplastic,fiber,oxidized,216,0.730899130013051,0.7456529591572455,0.4574186604937783,0.5784295233129159,0.6373621903272082,0.6397602742290552
PS,small microplastic,fragment,oxidized,216,0.7339664868157522,0.7200137954757432,0.5052177824169491,0.5913914271535666,0.6157507614794034,0.639470831870321
PS,submicron-to-small,sphere,oxidized,216,0.7287595525913801,0.5590150333437881,0.7121320472191592,0.6192559541678386,0.579110119583685,0.6374265883062207
PS,nano-scale,sphere,UV-aged,432,0.7080733060775347,0.4837470574691413,0.7973289449559071,0.6205514283139337,0.5834987618275135,0.6369545165360185
PVC,submicron-to-small,fragment,UV-aged,216,0.7026853549268632,0.5760239779949772,0.6775197941570302,0.6009490671794379,0.6126180534871648,0.6363160082145436
PS,larger microplastic,fiber,oxidized,216,0.7275120489075714,0.8248620840245608,0.3615519515469795,0.5678213356023394,0.6361797340140352,0.6357715336388698
PET,nano-scale,sphere,oxidized,432,0.7159802267935709,0.4538115218058839,0.7974013180999404,0.6184860331244922,0.5768791432706811,0.635566215778108
PS,small microplastic,fiber,UV-aged,216,0.7005391404695409,0.7596187819431928,0.451012471090426,0.5716508310490996,0.6413285826480633,0.6346407619170306
PET,small microplastic,fiber,oxidized,216,0.711949130013051,0.72996817654855,0.4535001778735246,0.5711170220051007,0.6351684399348635,0.6343536050983501
PE,nano-scale,sphere,oxidized,432,0.7212034705731284,0.5276489442004372,0.7889776503102033,0.6337264172664817,0.5614512585132779,0.6335551907235989
PE,small microplastic,fiber,oxidized,216,0.7178314972061868,0.8013644011150362,0.4456070315511007,0.5860283230216707,0.6196418302398347,0.6324222572459129
PP,nano-scale,sphere,oxidized,432,0.7189784705731284,0.5149641615917416,0.7883169926327896,0.6302412634415185,0.560405712365789,0.6320256624451521
PET,submicron-to-small,fragment,UV-aged,216,0.6837353549268633,0.5603391953862815,0.6740547740221529,0.5937726046172354,0.610465114718504,0.6309489399626864
PP,small microplastic,fiber,oxidized,216,0.7156064972061865,0.7886796185063405,0.44463138625450077,0.5824486729109517,0.6185679352066189,0.6308652210986827
PS,nano-scale,fiber,pristine,432,0.6243507047181375,0.531334469911353,0.758704467376493,0.5890815675285518,0.6465578035918988,0.6300267608550477
PE,submicron-to-small,fragment,UV-aged,216,0.6893854864419141,0.6325955520938231,0.6654906294186522,0.6086546325776936,0.5949297231066415,0.6289472444253159
PVC,small microplastic,fragment,oxidized,216,0.7146144951750493,0.6903553104091037,0.49418845882193757,0.5784009330617353,0.6018536132518539,0.628131446598953
PP,submicron-to-small,fragment,UV-aged,216,0.6871604864419141,0.6199107694851276,0.6646100503998056,0.6051035023503005,0.5938643840384236,0.6273985104161219
PVC,submicron-to-small,sphere,oxidized,216,0.7092859437113745,0.5298069824967874,0.7022429189748339,0.606697605525141,0.5653426149908757,0.6261806233633876
PVC,nano-scale,sphere,UV-aged,432,0.6884098540165415,0.4552421295146881,0.7885578220335673,0.6084691058463412,0.5698740650872357,0.6257965823392424
PVC,larger microplastic,fiber,oxidized,216,0.7081896409514085,0.7950940297559215,0.3516145344816252,0.5551364996290052,0.6223742832220348,0.624529001280036
PS,larger microplastic,fragment,oxidized,216,0.7114617456106956,0.7686965406796568,0.39791917569281193,0.5674983941771082,0.6005828515864658,0.6241194046456168
PVC,small microplastic,fiber,UV-aged,216,0.6811986452755002,0.7299177174444702,0.44019355950491074,0.5587149446737006,0.6274478167354436,0.6233203335614939
PS,small microplastic,fragment,UV-aged,216,0.6842600231677032,0.7043006978759252,0.4877717146535118,0.5716149873045719,0.6058178295247049,0.6230112916857536
PET,small microplastic,fragment,oxidized,216,0.6956644951750494,0.674670527800408,0.4902403325477359,0.5710795386577356,0.5996571949306541,0.6227221886879486
