exposure_scenario_id,particle_id,polymer,size_um,size_class,shape,aging,charge,dose_level,duration_days,gut_status,diet_state,surface_score,particle_hazard_potential,mucus_retention,P_Mcell,gut_to_lymph_translocation,MLN_retention,macrophage_uptake_potential,systemic_spillover_potential,interaction_risk_proxy
EXP0072,MP0432,PS,0.05,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8618000000000001,0.8499133944177174,0.5788326132677135,0.8560248996687262,0.7338439925541606,0.7776531977662482,0.8446175673397175,0.7752083895737435,0.8187628547908329
EXP0072,MP0459,PS,0.1,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8618000000000001,0.8477290659560134,0.586922718681432,0.8478630793434118,0.7330134675393098,0.777404040261793,0.8433293042763231,0.7743725918544263,0.8179395721818717
EXP0066,MP0432,PS,0.05,nano-scale,fiber,oxidized,positive,high,180,barrier-impaired,high-fat,0.8618000000000001,0.8499133944177174,0.5788326132677135,0.8560248996687262,0.7338439925541606,0.7776531977662482,0.8446175673397175,0.7682298138519831,0.809733651433909
EXP0066,MP0459,PS,0.1,nano-scale,fiber,oxidized,positive,high,180,barrier-impaired,high-fat,0.8618000000000001,0.8477290659560134,0.586922718681432,0.8478630793434118,0.7330134675393098,0.777404040261793,0.8433293042763231,0.7673940161326659,0.8089103688249477
EXP0072,MP0431,PS,0.05,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.8338000000000001,0.8244045716367447,0.5731171420861305,0.8498190907430585,0.7266391556401437,0.7674917466920432,0.8210364526946934,0.7721192282400423,0.8078602268336948
EXP0072,MP0567,PVC,0.05,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8368,0.8302523729231442,0.5486882484327988,0.8492606565857296,0.7220358466622786,0.7641107539986836,0.8258889889346853,0.7697422993448334,0.8076853804660397
EXP0072,MP0458,PS,0.1,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.8338000000000001,0.8222455001793612,0.5811137030394027,0.8414705153391873,0.7257338952096367,0.767220168562891,0.8197554951129569,0.7712673714201023,0.807021912721053
EXP0072,MP0594,PVC,0.1,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8368,0.8280996316238466,0.5566613643561242,0.84091194330808,0.7211258558636487,0.7638377567590946,0.8246111223743098,0.768890687804772,0.8068473745719899
EXP0072,MP0423,PS,0.05,nano-scale,fragment,oxidized,positive,high,365,barrier-impaired,high-fat,0.8618,0.8293256758995281,0.5394723114832297,0.8587008711958417,0.7267747236553984,0.7400324170966196,0.8232353784065015,0.7718062042881039,0.803938909106672
EXP0072,MP0429,PS,0.05,nano-scale,fiber,UV-aged,positive,high,365,barrier-impaired,high-fat,0.7908000000000002,0.8033939774459169,0.5645748983484564,0.8471370621217593,0.7176760983062191,0.7688028294918658,0.8261836140952914,0.7689763373023079,0.8039249293236533
EXP0072,MP0450,PS,0.1,nano-scale,fragment,oxidized,positive,high,365,barrier-impaired,high-fat,0.8618,0.8275563796567434,0.5460252605305799,0.8522197339689488,0.7261409722968006,0.7398422916890403,0.8221953984271252,0.7711410977923224,0.8032833981086606
EXP0072,MP0456,PS,0.1,nano-scale,fiber,UV-aged,positive,high,365,barrier-impaired,high-fat,0.7908000000000002,0.8012222647805068,0.5726182785907157,0.838617011743743,0.7167287592412661,0.7685186277723799,0.8248918465431068,0.7681082755100547,0.803071000750032
EXP0072,MP0027,PET,0.05,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8168000000000001,0.8113023729231443,0.5321882484327989,0.8472009184585904,0.7151179252241369,0.762035377567241,0.8220163760052525,0.7668823333062001,0.8023935735353965
EXP0071,MP0432,PS,0.05,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,normal,0.8618000000000001,0.8499133944177174,0.5560065263111917,0.8560248996687262,0.7072787751628562,0.769683632548857,0.8422266977745001,0.7194388968201203,0.8021563258053257
EXP0072,MP0486,PS,1.0,submicron-to-small,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8522,0.8173245789978065,0.6648637814896053,0.7394996777377885,0.7146526596192576,0.7638957978857774,0.8172376721422924,0.762398548916622,0.802095487801693
EXP0072,MP0054,PET,0.1,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8168000000000001,0.8091496316238465,0.5401613643561243,0.8387597853282819,0.7141802084697094,0.7617540625409129,0.8207360141088552,0.7660222653496204,0.8015474966156142
