polymer,size_class,shape,aging,n_scenarios,mean_interaction_risk,mean_final_A_MLN,mean_final_A_macrophage,mean_final_A_systemic,mean_AUC_MLN,mean_lymphatic_burden_index
PE,nano-scale,fiber,oxidized,432,0.6755838373241417,0.8485320786705375,2.215979736048682,1.9882490804294117,135.13038020104332,0.39099790745058294
PP,nano-scale,fiber,oxidized,432,0.6740544372613945,0.8339120846438695,2.173916906850793,1.951694297493957,132.78484938860413,0.3847116725050543
PE,nano-scale,fiber,UV-aged,432,0.6604940079612214,0.8314249254089399,2.097634025068079,1.9344948402483269,132.37456644528135,0.38183326420070884
PS,nano-scale,fiber,oxidized,432,0.6939801073199187,0.8209071683156913,2.263901142618683,1.905861977645797,130.75397705626722,0.3815747167809638
PE,nano-scale,fragment,oxidized,432,0.6609181886768267,0.8137365171021849,2.066968104666894,1.9658514722565992,129.52715255794007,0.3760569905387928
PP,nano-scale,fiber,UV-aged,432,0.658962316322281,0.8167227637062604,2.0568543024001866,1.8980451801357214,130.0168693039969,0.37532264895924183
PS,nano-scale,fiber,UV-aged,432,0.6789590270288547,0.8039943049438493,2.1432310115416304,1.8533278604566155,128.03115775335843,0.37213884487174664
PE,submicron-to-small,fiber,oxidized,216,0.6575719994022273,0.8165229234900012,2.0625977898718926,1.8909947695332343,129.96537282227447,0.3721353225247089
PP,nano-scale,fragment,oxidized,432,0.6593896654299128,0.7989738997247625,2.0258183979570132,1.9279869049693221,127.16009740692168,0.36885157931334195
PE,nano-scale,fragment,UV-aged,432,0.645841633782249,0.7967666539737756,1.9546930793843689,1.9119551248048452,126.79528294069023,0.36617769562861513
PS,submicron-to-small,fiber,oxidized,216,0.6762028768183822,0.7972085764053956,2.1275169067051953,1.8283813234937194,126.92486211450316,0.36617688616303845
PP,submicron-to-small,fiber,oxidized,216,0.6560222843841493,0.8031790060131891,2.0252357126147267,1.857876533272572,127.82648989878923,0.366106193347398
PS,nano-scale,fragment,oxidized,432,0.6793022638864115,0.7858016156897428,2.1094032493231762,1.8787483312866007,125.10199156274214,0.3651171745089915
PVC,nano-scale,fiber,oxidized,432,0.6828626774160861,0.7840451000899736,2.110478004639748,1.8188723381941014,124.82347662448907,0.36254559472964243
PE,submicron-to-small,fiber,UV-aged,216,0.6417077174082676,0.7968097572844626,1.9420159336555096,1.8317821176729785,126.79312443347766,0.3612579083258635
PE,submicron-to-small,fragment,oxidized,216,0.6447706175436414,0.7902050702935866,1.945219600987025,1.8909338474801052,125.72771966825555,0.3608911826138601
PP,nano-scale,fragment,UV-aged,432,0.6443108125116773,0.7819235060153276,1.9148122346184921,1.8741921772824317,124.41635338510694,0.3587185989542786
PS,submicron-to-small,fiber,UV-aged,216,0.6603786385883085,0.7776938391483968,2.0036915310903503,1.770322545884234,123.78586143927497,0.35497262485724324
PS,nano-scale,fragment,UV-aged,432,0.6642951076989021,0.7690064268159149,1.9949483219287512,1.8260575823756369,122.39998563976847,0.3549392871539079
PP,submicron-to-small,fiber,UV-aged,216,0.6401564159397922,0.7834426653305927,1.905981243363841,1.798900050042592,124.65152528817062,0.3547665881223038
PP,submicron-to-small,fragment,oxidized,216,0.6432236755936821,0.7765936586293428,1.908239724386695,1.856223832194508,123.5467872880931,0.3541059277030306
PS,submicron-to-small,fragment,oxidized,216,0.6633668511832288,0.7697149014524071,2.0032908336778745,1.8218869855279531,122.49837857701876,0.3535444289580936
PVC,nano-scale,fiber,UV-aged,432,0.6678110528097598,0.7667974986651933,1.9947584614866258,1.766242139787261,122.04953687595555,0.3520577420528393
PET,nano-scale,fiber,oxidized,432,0.6775758848787095,0.7647150938983245,2.0371223207990616,1.7687214235770865,121.7240985754822,0.3519736027075433
PE,nano-scale,fiber,pristine,432,0.6113403198054677,0.7761547347415574,1.7476146873956158,1.7691572735815504,123.4721670762329,0.3496559145200191
PE,nano-scale,sphere,oxidized,432,0.6335551907235989,0.7627068004805795,1.825605337982367,1.9194310999911737,121.30204038623171,0.3496536937264829
PE,submicron-to-small,fragment,UV-aged,216,0.6289472444253159,0.7709319752327298,1.8305508382013331,1.8319077511542992,122.62781554204047,0.34946937613835455
PVC,submicron-to-small,fiber,oxidized,216,0.6649285469709625,0.7617312857559517,1.9838029670852653,1.7458623427803925,121.22059056340541,0.3472734972296292
