polymer,size_class,shape,aging,n_scenarios,mean_particle_hazard,mean_interaction_risk,mean_lymphatic_burden,mean_macrophage_activation,mean_ROS,mean_cytokine,mean_final_risk,max_final_risk
PS,nano-scale,fiber,oxidized,432,0.8190757300514961,0.6939801073199187,0.3815747167809637,0.5050537626162901,0.5341759964540718,0.491532229550383,0.5407334876355939,0.874641652884942
PE,nano-scale,fiber,oxidized,432,0.785740918710305,0.6755838373241417,0.3909979074505828,0.4866625097737322,0.5223319734191201,0.48533317234230394,0.5315580728796404,0.8649810453813664
PP,nano-scale,fiber,oxidized,432,0.783515918710305,0.6740544372613945,0.3847116725050543,0.4835219805779873,0.5193002420837878,0.48229458359082195,0.5283953557805515,0.8635501696661705
PS,nano-scale,fiber,UV-aged,432,0.772562676875178,0.6789590270288547,0.3721388448717466,0.48887850129821026,0.5162185473348183,0.47992371644938864,0.5281772832720996,0.8659715799618427
PVC,nano-scale,fiber,oxidized,432,0.7994306421258293,0.6828626774160861,0.36254559472964243,0.48828472892196934,0.5197565566925538,0.47903606818379957,0.5269962027257898,0.8660256715658484
PS,submicron-to-small,fiber,oxidized,216,0.7877745897567311,0.6762028768183822,0.3661768861630384,0.48602281712951717,0.5165610520290553,0.4777634346945292,0.524361699443857,0.8647706969944219
PS,nano-scale,fragment,oxidized,432,0.7986857575493502,0.6793022638864115,0.36511717450899145,0.4843150760974819,0.518616492861433,0.4781045550766962,0.5238502919770562,0.8625470676351237
PET,nano-scale,fiber,oxidized,432,0.7804806421258292,0.6775758848787095,0.35197360270754324,0.48055297288859716,0.5107566484343501,0.4721339619313982,0.5202290784204956,0.8599655552154287
PE,nano-scale,fiber,UV-aged,432,0.7392280468982193,0.6604940079612214,0.38183326420070884,0.4704980055103551,0.504410073371996,0.4738401896564289,0.5190229201155134,0.8563330924927407
PP,nano-scale,fiber,UV-aged,432,0.7370030468982193,0.658962316322281,0.3753226489592418,0.46720381327628746,0.5012864032714031,0.4707184737549486,0.5157738075022638,0.8548876940064554
PE,nano-scale,fragment,oxidized,432,0.7653192935845295,0.6609181886768267,0.3760569905387928,0.4661567877099702,0.5070841417535829,0.47242568524862133,0.5150979360750646,0.8531067420838716
PVC,nano-scale,fiber,UV-aged,432,0.7529176490513909,0.6678110528097598,0.3520577420528393,0.47160283058710345,0.5014748691904488,0.466959851755971,0.5140429875619985,0.8553549771285816
PE,submicron-to-small,fiber,oxidized,216,0.7550833734665331,0.6575719994022273,0.3721353225247089,0.46640045247927836,0.5036556806708198,0.4702902551056916,0.5137904391087793,0.8546478057663007
PP,nano-scale,fragment,oxidized,432,0.7630942935845296,0.6593896654299128,0.36885157931334195,0.46272209699598793,0.503812807981632,0.46909415484899514,0.5116666302995774,0.8516570436511739
PS,nano-scale,fragment,UV-aged,432,0.7521685109113725,0.6642951076989021,0.3549392871539079,0.4677384610538261,0.5004334683947504,0.4661380759691785,0.5110355327625764,0.8524177556616178
PP,submicron-to-small,fiber,oxidized,216,0.7528583734665333,0.6560222843841493,0.366106193347398,0.46331679399901915,0.5007099755022795,0.46738001765385445,0.5107020120787521,0.8532341592478909
PS,submicron-to-small,fiber,UV-aged,216,0.7396907070033285,0.6603786385883085,0.35497262485724324,0.46871844080226127,0.4974917750732717,0.46518139770453026,0.5106590790766954,0.8553405349029487
PVC,submicron-to-small,fiber,oxidized,216,0.7683408592177586,0.6649285469709625,0.3472734972296292,0.46918124481912965,0.502205170932556,0.4652363141083572,0.5104890945696096,0.8549711610507993
PS,submicron-to-small,fragment,oxidized,216,0.7702319767465815,0.6633668511832288,0.35354442895809357,0.4675258414285039,0.503358512617872,0.4664261792056959,0.5098894020569533,0.8536540203804489
PVC,nano-scale,fragment,oxidized,432,0.7790301705388679,0.668192089782059,0.3444211273890779,0.46672822226485805,0.5036842577646722,0.46484504642285945,0.5095279726239021,0.8507289506726706
PET,nano-scale,fiber,UV-aged,432,0.733967649051391,0.662515085006205,0.34117341774556764,0.46361747824528965,0.492342656331042,0.45993875620578906,0.5071443985377417,0.8486879139290807
PET,submicron-to-small,fiber,oxidized,216,0.7493908592177587,0.6595572308057825,0.337257345443567,0.4615277266093991,0.4933420809447061,0.45851726618887767,0.5038197843569916,0.8485235258835562
PET,nano-scale,fragment,oxidized,432,0.7600801705388681,0.6629088808423274,0.3332935484416537,0.45863260517159005,0.4944408565657039,0.45773040410864135,0.5025472588826114,0.8423020664190483
PE,nano-scale,fragment,UV-aged,432,0.7188021659814396,0.645841633782249,0.3661776956286151,0.4495354986278456,0.48891501768648954,0.46060533045444924,0.502306403259609,0.8444420656892317
PE,submicron-to-small,fiber,UV-aged,216,0.7070035179586874,0.6417077174082676,0.36125790832586346,0.4490086129630959,0.48459667462548106,0.45784294940576276,0.5001290246883058,0.8453490769718447
PE,submicron-to-small,fragment,oxidized,216,0.7374745366300454,0.6447706175436414,0.3608911826138601,0.4481222260679025,0.4907570088631096,0.4594791612450881,0.4997463883164111,0.8440417246921592
PP,nano-scale,fragment,UV-aged,432,0.7165771659814395,0.6443108125116773,0.3587185989542786,0.44595965994342307,0.48556081325184125,0.45716562626576196,0.49878215233567197,0.8429773976551833
PP,submicron-to-small,fiber,UV-aged,216,0.7047785179586875,0.6401564159397922,0.3547665881223037,0.445741170346765,0.4815260285192309,0.45473775933009886,0.49688797746454844,0.8439225760760642
PVC,submicron-to-small,fiber,UV-aged,216,0.720258285750233,0.6490846871831536,0.3351646125679667,0.45134800498106875,0.48283524235233066,0.45224256418635206,0.49643830225049934,0.8411422285815057
PP,submicron-to-small,fragment,oxidized,216,0.7352495366300453,0.6432236755936821,0.35410592770303057,0.4447737135413761,0.48761051969722174,0.45628104595027075,0.49642521255231564,0.8426096499092118
PVC,nano-scale,fragment,UV-aged,432,0.7325129633905755,0.6531541915681904,0.33351185230232927,0.44968468445949833,0.4851986161558466,0.4526067251099603,0.49640828595044223,0.8358684216960099
PS,submicron-to-small,fragment,UV-aged,216,0.7221395333221369,0.6475897421501811,0.3418345876611638,0.44987759777367536,0.4841308337030395,0.4535881845475711,0.49602609935058234,0.8420416802080077
PVC,submicron-to-small,fragment,oxidized,216,0.7507766929080667,0.6521153632170597,0.33333643301110716,0.44999724526553136,0.48857443351845864,0.453337612194451,0.495569485733107,0.8394750578931645
PS,nano-scale,sphere,oxidized,432,0.7545937056545723,0.6519803302560763,0.3377993988625224,0.4463354443716408,0.4894967169945051,0.45391477775403183,0.49455762323763425,0.835247049459576
PS,small microplastic,fiber,oxidized,216,0.7502419848755848,0.6510882455321999,0.3197095722899659,0.4530264337892942,0.48593213863651913,0.4503000030042528,0.49273172187827474,0.8408716444984401
PET,submicron-to-small,fiber,UV-aged,216,0.7013082857502331,0.6437066555421728,0.3249862897602316,0.4436065264544962,0.4738950195409289,0.4454578991202713,0.48970611164761846,0.8310742486742115
PET,nano-scale,fragment,UV-aged,432,0.7135629633905756,0.6478617963387795,0.3222523897779477,0.44159910636671945,0.47589628609570794,0.4454394679665248,0.4893863975752578,0.8246288785935514
PET,submicron-to-small,fragment,oxidized,216,0.7318266929080666,0.6467557836981049,0.3228913298587556,0.44216377011890584,0.47953525739312863,0.44646002928396694,0.48875863366001127,0.8292734518353176
PS,nano-scale,fiber,pristine,432,0.6243507047181375,0.6300267608550477,0.33875197273219193,0.4341271266658236,0.4574078628411196,0.44108927784070523,0.486159315451944,0.8256292640016083
