polymer,size_class,shape,aging,n_scenarios,mean_particle_hazard,mean_interaction_risk,mean_lymphatic_burden,mean_macrophage_activation,mean_ROS,mean_cytokine,mean_final_risk,max_final_risk,severe_rate,high_or_severe_rate
PS,nano-scale,fiber,oxidized,432,0.8190757300514961,0.6939801073199187,0.3815747167809637,0.5050537626162901,0.5341759964540718,0.491532229550383,0.5407334876355938,0.874641652884942,0.08333333333333333,0.4930555555555556
PE,nano-scale,fiber,oxidized,432,0.785740918710305,0.6755838373241417,0.3909979074505828,0.4866625097737322,0.5223319734191201,0.48533317234230394,0.5315580728796404,0.8649810453813664,0.08333333333333333,0.47685185185185186
PP,nano-scale,fiber,oxidized,432,0.783515918710305,0.6740544372613945,0.3847116725050543,0.4835219805779873,0.5193002420837878,0.48229458359082195,0.5283953557805515,0.8635501696661705,0.08101851851851852,0.47685185185185186
PS,nano-scale,fiber,UV-aged,432,0.772562676875178,0.6789590270288547,0.3721388448717466,0.48887850129821026,0.5162185473348183,0.47992371644938864,0.5281772832720996,0.8659715799618427,0.07407407407407407,0.47453703703703703
PVC,nano-scale,fiber,oxidized,432,0.7994306421258293,0.6828626774160861,0.36254559472964243,0.48828472892196934,0.5197565566925538,0.47903606818379957,0.5269962027257898,0.8660256715658484,0.07407407407407407,0.4699074074074074
PS,submicron-to-small,fiber,oxidized,216,0.7877745897567311,0.6762028768183822,0.3661768861630384,0.48602281712951717,0.5165610520290553,0.4777634346945292,0.524361699443857,0.8647706969944219,0.07407407407407407,0.4675925925925926
PS,nano-scale,fragment,oxidized,432,0.7986857575493502,0.6793022638864115,0.36511717450899145,0.48431507609748187,0.518616492861433,0.4781045550766962,0.5238502919770562,0.8625470676351237,0.07407407407407407,0.46296296296296297
PET,nano-scale,fiber,oxidized,432,0.7804806421258292,0.6775758848787095,0.35197360270754324,0.48055297288859716,0.5107566484343501,0.4721339619313982,0.5202290784204956,0.8599655552154287,0.06944444444444445,0.46296296296296297
PE,nano-scale,fiber,UV-aged,432,0.7392280468982193,0.6604940079612214,0.38183326420070884,0.4704980055103551,0.504410073371996,0.4738401896564289,0.5190229201155134,0.8563330924927407,0.07407407407407407,0.4583333333333333
PP,nano-scale,fiber,UV-aged,432,0.7370030468982193,0.658962316322281,0.3753226489592418,0.4672038132762874,0.5012864032714031,0.4707184737549486,0.5157738075022638,0.8548876940064554,0.06944444444444445,0.4583333333333333
PE,nano-scale,fragment,oxidized,432,0.7653192935845295,0.6609181886768267,0.3760569905387928,0.46615678770997016,0.5070841417535829,0.4724256852486213,0.5150979360750646,0.8531067420838716,0.06944444444444445,0.45601851851851855
PVC,nano-scale,fiber,UV-aged,432,0.7529176490513909,0.6678110528097598,0.3520577420528393,0.4716028305871034,0.5014748691904487,0.466959851755971,0.5140429875619985,0.8553549771285816,0.05555555555555555,0.44907407407407407
PE,submicron-to-small,fiber,oxidized,216,0.7550833734665331,0.6575719994022273,0.3721353225247089,0.4664004524792783,0.5036556806708198,0.4702902551056916,0.5137904391087793,0.8546478057663007,0.06944444444444445,0.4398148148148148
PP,nano-scale,fragment,oxidized,432,0.7630942935845296,0.6593896654299128,0.36885157931334195,0.46272209699598793,0.503812807981632,0.46909415484899514,0.5116666302995774,0.8516570436511739,0.06018518518518518,0.4375
PS,nano-scale,fragment,UV-aged,432,0.7521685109113725,0.6642951076989021,0.3549392871539079,0.4677384610538261,0.5004334683947504,0.4661380759691785,0.5110355327625764,0.8524177556616178,0.05092592592592592,0.4375
