polymer,size_class,shape,aging,n_scenarios,baseline_mean_risk,mc_mean_risk,mc_sd_risk,mean_prob_severe,mean_prob_high_or_severe,mean_uncertainty_band,stable_classification_rate
PS,nano-scale,fiber,oxidized,432,0.5407334876355938,0.5405551437453859,0.019117386878303593,0.08885030864197531,0.5074228395061728,0.062199242669307694,0.7523148148148148
PE,nano-scale,fiber,oxidized,432,0.5315580728796404,0.5312547098826564,0.01892688618403666,0.08125771604938271,0.4832098765432099,0.06163645270072181,0.7962962962962963
PP,nano-scale,fiber,oxidized,432,0.5283953557805515,0.5280833836854113,0.01879966052823713,0.07795524691358026,0.47651234567901235,0.06107172349514421,0.7916666666666666
PS,nano-scale,fiber,UV-aged,432,0.5281772832720996,0.5279281974310899,0.018806084444881212,0.07496141975308641,0.4773611111111111,0.061512613303503605,0.7824074074074074
PVC,nano-scale,fiber,oxidized,432,0.5269962027257898,0.5268275195370091,0.018784822021834197,0.07266975308641975,0.47484567901234565,0.061208026152741915,0.7800925925925926
PS,submicron-to-small,fiber,oxidized,216,0.524361699443857,0.5240979226448249,0.01861970144030531,0.07364197530864197,0.46555555555555556,0.06058467489832292,0.8055555555555556
PS,nano-scale,fragment,oxidized,432,0.5238502919770562,0.5236882709401424,0.018674074375181152,0.07021604938271604,0.4679706790123457,0.060956697823080434,0.7986111111111112
PET,nano-scale,fiber,oxidized,432,0.5202290784204956,0.5200192269685214,0.018524555931289557,0.06321759259259259,0.46021604938271604,0.06032653155008774,0.8009259259259259
PE,nano-scale,fiber,UV-aged,432,0.5190229201155134,0.5186721513007689,0.018441413227672846,0.06872685185185186,0.457037037037037,0.06016442624373566,0.8009259259259259
PP,nano-scale,fiber,UV-aged,432,0.5157738075022638,0.5155198710348471,0.018346473936260314,0.06450617283950617,0.44979166666666665,0.05993075894713554,0.8125
PE,nano-scale,fragment,oxidized,432,0.5150979360750646,0.5148374360215974,0.01841330466129107,0.0639891975308642,0.44940586419753087,0.05997753276712178,0.8148148148148148
PVC,nano-scale,fiber,UV-aged,432,0.5140429875619985,0.5138722368649499,0.01820288645789016,0.05647376543209877,0.447554012345679,0.059397576038640876,0.8125
PE,submicron-to-small,fiber,oxidized,216,0.5137904391087793,0.5135753031862199,0.01832824708857317,0.06503086419753086,0.4438117283950617,0.05967989170817057,0.8148148148148148
PP,nano-scale,fragment,oxidized,432,0.5116666302995774,0.5114175432660581,0.01817836967050446,0.05957561728395062,0.441712962962963,0.05931779292916785,0.8217592592592593
PS,nano-scale,fragment,UV-aged,432,0.5110355327625764,0.5109570279171474,0.018144343170469573,0.05570987654320988,0.44086419753086425,0.05924083028472422,0.8240740740740741
PP,submicron-to-small,fiber,oxidized,216,0.5107020120787521,0.510505311094552,0.01818423153539722,0.0617283950617284,0.43688271604938267,0.05915058767569013,0.8194444444444444
PS,submicron-to-small,fiber,UV-aged,216,0.5106590790766954,0.5104255115411427,0.018143394619274552,0.057978395061728395,0.4370833333333333,0.059223163219845484,0.8148148148148148
PVC,submicron-to-small,fiber,oxidized,216,0.5104890945696096,0.5102532729476261,0.01816837174057709,0.05583333333333334,0.43703703703703706,0.059489093785889874,0.8194444444444444
PS,submicron-to-small,fragment,oxidized,216,0.5098894020569533,0.5096068072805795,0.01813554809549027,0.05654320987654321,0.43645061728395057,0.059136149363642435,0.8333333333333334
PVC,nano-scale,fragment,oxidized,432,0.5095279726239021,0.509331601769174,0.018161271849121013,0.051520061728395065,0.4375462962962963,0.059246313274998234,0.8263888888888888
PET,nano-scale,fiber,UV-aged,432,0.5071443985377417,0.5070117784927799,0.017978031973507905,0.047762345679012344,0.4323456790123457,0.05843919773133894,0.8194444444444444
PET,submicron-to-small,fiber,oxidized,216,0.5038197843569916,0.5036990269870185,0.017917264795697843,0.046080246913580244,0.4251851851851852,0.058301265897337924,0.8333333333333334
PET,nano-scale,fragment,oxidized,432,0.5025472588826114,0.5024370489177963,0.017909929575613853,0.04212962962962963,0.42277777777777775,0.058241630925477406,0.8263888888888888
