simulation_id,exposure_scenario_id,particle_id,polymer,size_um,size_class,shape,aging,charge,dose_level,duration_days,gut_status,diet_state,particle_hazard_potential,interaction_risk_proxy,lymphatic_burden_index,macrophage_activation_score,ROS_score,cytokine_activation_score,systemic_inflammatory_spillover_score,immune_dysregulation_score,baseline_final_risk,baseline_risk_class,dominant_mechanistic_driver,mc_mean_risk,mc_sd_risk,mc_cv_risk,mc_p05_risk,mc_p25_risk,mc_p50_risk,mc_p75_risk,mc_p95_risk,mc_uncertainty_band_width,mc_prob_low,mc_prob_moderate,mc_prob_high,mc_prob_severe,mc_prob_high_or_severe,mc_mean_minus_baseline,mc_p05_class,mc_p50_class,mc_p95_class,classification_stable,uncertainty_class,risk_robustness_label,mc_rank_mean,mc_rank_p05,mc_rank_p95
SIM048357,EXP0072,MP0432,PS,0.05,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8499133944177174,0.8187628547908329,0.9931026043942782,0.9198730930140804,0.9075654524046798,0.9137962479322984,0.9149542935016044,0.932811352038478,0.874641652884942,severe,lymphatic burden dominated,0.864868419481171,0.02558646496436343,0.029584228523089097,0.8209429749654273,0.8500066541101712,0.8660143100096827,0.8824433436937076,0.9014885315416372,0.08054555657620988,0.0,0.0,0.0,1.0,1.0,-0.009773233403771009,severe,severe,severe,True,low uncertainty,robust severe,1,1,3
SIM048384,EXP0072,MP0459,PS,0.1,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8477290659560134,0.8179395721818717,0.993330412338909,0.9193824147240258,0.9068914362701552,0.9133877937474956,0.9146649047458504,0.9324476926657698,0.8742634299695458,severe,lymphatic burden dominated,0.864843282750057,0.02666580842564082,0.030833110411422955,0.8186762627455841,0.8469822630440942,0.8659030672256716,0.8839145817970515,0.907050348126198,0.08837408538061386,0.0,0.0,0.0,1.0,1.0,-0.009420147219488806,severe,severe,severe,True,low uncertainty,robust severe,2,2,1
SIM048383,EXP0072,MP0458,PS,0.1,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.8222455001793612,0.807021912721053,0.9942157962396636,0.9106802539489276,0.8980698554996105,0.9082552572791251,0.9120808484409456,0.927203412382029,0.8682490764330255,severe,lymphatic burden dominated,0.8600956268488422,0.028180946510723264,0.03276489919375345,0.8112518580389037,0.841124749632687,0.8629417628879444,0.8794305553590758,0.9047958579025889,0.09354399986368522,0.0,0.0,0.0,1.0,1.0,-0.008153449584183292,severe,severe,severe,True,low uncertainty,robust severe,3,8,2
SIM048356,EXP0072,MP0431,PS,0.05,nano-scale,fiber,oxidized,negative,high,365,barrier-impaired,high-fat,0.8244045716367447,0.8078602268336948,0.994006053705014,0.911172115076921,0.8987441910015489,0.9086657088936992,0.9123745486981156,0.9275700603796464,0.8686453230863113,severe,lymphatic burden dominated,0.8590885514362931,0.02658368524810668,0.030944057168066086,0.8153794087241645,0.8428679841868976,0.8608375829912577,0.8763095015828543,0.8980581966832182,0.0826787879590537,0.0,0.0,0.0,1.0,1.0,-0.009556771650018114,severe,severe,severe,True,low uncertainty,robust severe,4,4,7
SIM048354,EXP0072,MP0429,PS,0.05,nano-scale,fiber,UV-aged,positive,high,365,barrier-impaired,high-fat,0.8033939774459169,0.8039249293236533,0.9926713035197564,0.9101636753394056,0.8934886534164492,0.9065226485900169,0.9110809732457148,0.925230253798973,0.8659715799618427,severe,lymphatic burden dominated,0.8578413173207268,0.025849211663638735,0.030132859238282864,0.8166114488309418,0.8415104215138367,0.8564991395261536,0.8761758108503502,0.8989042910680739,0.08229284223713207,0.0,0.0,0.0,1.0,1.0,-0.008130262641115937,severe,severe,severe,True,low uncertainty,robust severe,5,3,5
SIM048381,EXP0072,MP0456,PS,0.1,nano-scale,fiber,UV-aged,positive,high,365,barrier-impaired,high-fat,0.8012222647805068,0.803071000750032,0.9928590201113604,0.9096642919636652,0.8928038574124109,0.9061055577656448,0.9107819529546404,0.9248549995195352,0.865559864787741,severe,lymphatic burden dominated,0.8567408430934992,0.025186699916287848,0.029398271506836212,0.8132165256310865,0.8401916018055641,0.8575409258972341,0.8753966181475128,0.8944702884360757,0.0812537628049892,0.0,0.0,0.0,1.0,1.0,-0.008819021694241869,severe,severe,severe,True,low uncertainty,robust severe,6,7,16
SIM048492,EXP0072,MP0567,PVC,0.05,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8302523729231442,0.8076853804660397,0.9857772643090872,0.9113973746099626,0.8986106796278264,0.9075235283578512,0.9117720886198992,0.9262514237453512,0.8660256715658484,severe,lymphatic burden dominated,0.8558298630116612,0.0249411744632547,0.029142678400421413,0.8148971703109853,0.8386843411092565,0.8568913970351224,0.8743881132572937,0.8970576213416208,0.08216045103063552,0.0,0.0,0.0,1.0,1.0,-0.010195808554187225,severe,severe,severe,True,low uncertainty,robust severe,7,5,9
SIM048087,EXP0072,MP0162,PE,0.05,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8165305399351886,0.800808379562932,0.99932856747834,0.9035551969099772,0.8950613544494369,0.9058243341850488,0.911352647727388,0.9250648087606276,0.8649810453813664,severe,lymphatic burden dominated,0.8553115339154362,0.028249086601406553,0.03302783311252118,0.8073060658370543,0.835387588124066,0.856754331997277,0.8743179171416524,0.898857538595212,0.09155147275815767,0.0,0.0,0.0,1.0,1.0,-0.009669511465930203,severe,severe,severe,True,low uncertainty,robust severe,8,16,6
SIM048519,EXP0072,MP0594,PVC,0.1,nano-scale,fiber,oxidized,positive,high,365,barrier-impaired,high-fat,0.8280996316238466,0.8068473745719899,0.9863927552642218,0.910947126677533,0.8980109994651001,0.9073610158987764,0.91152804380767,0.9260381878809922,0.8657464786796397,severe,lymphatic burden dominated,0.8552823339522339,0.028309408563170626,0.033099489419266506,0.8063239924819561,0.8346964998656055,0.8580335071032035,0.876353764643207,0.8969815256323408,0.09065753315038472,0.0,0.0,0.0,1.0,1.0,-0.010464144727405866,severe,severe,severe,True,low uncertainty,robust severe,9,19,10
SIM048375,EXP0072,MP0450,PS,0.1,nano-scale,fragment,oxidized,positive,high,365,barrier-impaired,high-fat,0.8275563796567434,0.8032833981086606,0.9885441271062748,0.9070254741150828,0.8968046819322971,0.9067733032994696,0.9113916651396085,0.9251565473383312,0.8623579608228253,severe,lymphatic burden dominated,0.854412885916528,0.0265484566194998,0.031072163186057548,0.8140676478183427,0.8350757092919687,0.8547184492047795,0.8723391591521004,0.8999025840738958,0.08583493625555305,0.0,0.0,0.0,1.0,1.0,-0.007945074906297367,severe,severe,severe,True,low uncertainty,robust severe,10,6,4
